"region","zone","ethnic.group","residence","sex","population"
"addis.ababa","administration","affar","urban","m",1948
"addis.ababa","administration","agew-awi","urban","m",1118
"addis.ababa","administration","agew.hamyra","urban","m",3784
"addis.ababa","administration","alaba","urban","m",3127
"addis.ababa","administration","amhara","urban","m",586548
"addis.ababa","administration","anyiwak","urban","m",1268
"addis.ababa","administration","argoba","urban","m",2550
"addis.ababa","administration","ari","urban","m",513
"addis.ababa","administration","arborie","urban","m",105
"addis.ababa","administration","bacha","urban","m",9
"addis.ababa","administration","basketo","urban","m",35
"addis.ababa","administration","bench","urban","m",245
"addis.ababa","administration","berta","urban","m",454
"addis.ababa","administration","bodi","urban","m",346
"addis.ababa","administration","brayle","urban","m",345
"addis.ababa","administration","burji","urban","m",513
"addis.ababa","administration","bena","urban","m",199
"addis.ababa","administration","chara","urban","m",60
"addis.ababa","administration","dasenech","urban","m",89
"addis.ababa","administration","dawuro","urban","m",624
"addis.ababa","administration","debase-gewada","urban","m",76
"addis.ababa","administration","derashe","urban","m",119
"addis.ababa","administration","dime","urban","m",68
"addis.ababa","administration","dizi","urban","m",54
"addis.ababa","administration","donga","urban","m",87
"addis.ababa","administration","fedashe","urban","m",112
"addis.ababa","administration","gamo","urban","m",26247
"addis.ababa","administration","gebato","urban","m",157
"addis.ababa","administration","gedeo","urban","m",412
"addis.ababa","administration","gedicho","urban","m",101
"addis.ababa","administration","gidole","urban","m",149
"addis.ababa","administration","goffa","urban","m",611
"addis.ababa","administration","gumuz","urban","m",492
"addis.ababa","administration","guragie","urban","m",227186
"addis.ababa","administration","guagu","urban","m",0
"addis.ababa","administration","hadiya","urban","m",9343
"addis.ababa","administration","hareri","urban","m",3220
"addis.ababa","administration","hamer","urban","m",68
"addis.ababa","administration","irob","urban","m",68
"addis.ababa","administration","kefficho","urban","m",1093
"addis.ababa","administration","kembata","urban","m",2777
"addis.ababa","administration","konta","urban","m",49
"addis.ababa","administration","komo","urban","m",104
"addis.ababa","administration","konso","urban","m",100
"addis.ababa","administration","kore","urban","m",118
"addis.ababa","administration","koyego","urban","m",30
"addis.ababa","administration","kunama","urban","m",126
"addis.ababa","administration","karo","urban","m",7
"addis.ababa","administration","kusumie","urban","m",6
"addis.ababa","administration","malie","urban","m",1768
"addis.ababa","administration","mao","urban","m",2057
"addis.ababa","administration","mareko","urban","m",907
"addis.ababa","administration","mashola","urban","m",321
"addis.ababa","administration","mere","urban","m",226
"addis.ababa","administration","me-enite","urban","m",43
"addis.ababa","administration","messengo","urban","m",1041
"addis.ababa","administration","mejenger","urban","m",100
"addis.ababa","administration","mossiye","urban","m",1327
"addis.ababa","administration","mursi","urban","m",39
"addis.ababa","administration","murle","urban","m",243
"addis.ababa","administration","nao","urban","m",204
"addis.ababa","administration","nuwer","urban","m",594
"addis.ababa","administration","nyangatom","urban","m",100
"addis.ababa","administration","oromo","urban","m",249090
"addis.ababa","administration","oida","urban","m",245
"addis.ababa","administration","qebena","urban","m",452
"addis.ababa","administration","qechem","urban","m",57
"addis.ababa","administration","qewama","urban","m",6
"addis.ababa","administration","shekecho","urban","m",100
"addis.ababa","administration","sheko","urban","m",41
"addis.ababa","administration","shinasha","urban","m",141
"addis.ababa","administration","sidama","urban","m",1269
"addis.ababa","administration","silte","urban","m",44954
"addis.ababa","administration","somalie","urban","m",3066
"addis.ababa","administration","surma","urban","m",542
"addis.ababa","administration","she","urban","m",44
"addis.ababa","administration","tigrie","urban","m",82701
"addis.ababa","administration","timebaro","urban","m",127
"addis.ababa","administration","tsemay","urban","m",49
"addis.ababa","administration","upo","urban","m",24
"addis.ababa","administration","welaita","urban","m",10255
"addis.ababa","administration","werji","urban","m",2216
"addis.ababa","administration","yem","urban","m",267
"addis.ababa","administration","zeyese","urban","m",198
"addis.ababa","administration","zelmam","urban","m",27
"addis.ababa","administration","other.ethiopian.national","urban","m",4043
"addis.ababa","administration","from.different.parents","urban","m",10338
"addis.ababa","administration","eritrean","urban","m",1441
"addis.ababa","administration","djiboutian","urban","m",65
"addis.ababa","administration","somalian","urban","m",4498
"addis.ababa","administration","kenyan","urban","m",113
"addis.ababa","administration","sudanese","urban","m",389
"addis.ababa","administration","other.foreigners","urban","m",2799
"addis.ababa","akaki.kaliti","affar","urban","m",191
"addis.ababa","akaki.kaliti","agew-awi","urban","m",69
"addis.ababa","akaki.kaliti","agew.hamyra","urban","m",79
"addis.ababa","akaki.kaliti","alaba","urban","m",295
"addis.ababa","akaki.kaliti","amhara","urban","m",35984
"addis.ababa","akaki.kaliti","anyiwak","urban","m",64
"addis.ababa","akaki.kaliti","argoba","urban","m",268
"addis.ababa","akaki.kaliti","ari","urban","m",34
"addis.ababa","akaki.kaliti","arborie","urban","m",7
"addis.ababa","akaki.kaliti","bacha","urban","m",1
"addis.ababa","akaki.kaliti","basketo","urban","m",2
"addis.ababa","akaki.kaliti","bench","urban","m",39
"addis.ababa","akaki.kaliti","berta","urban","m",23
"addis.ababa","akaki.kaliti","bodi","urban","m",2
"addis.ababa","akaki.kaliti","brayle","urban","m",53
"addis.ababa","akaki.kaliti","burji","urban","m",83
"addis.ababa","akaki.kaliti","bena","urban","m",19
