"region","zone","language","residence","sex","population"
"affar","1","affarigna","urban","m",22949
"affar","1","agew-awinigigna","urban","m",29
"affar","1","agew-kamyrnya","urban","m",11
"affar","1","alabigna","urban","m",9
"affar","1","amarigna","urban","m",18211
"affar","1","anyiwakgna","urban","m",12
"affar","1","argobigna","urban","m",35
"affar","1","arigna","urban","m",15
"affar","1","arborigna","urban","m",2
"affar","1","bachagna","urban","m",2
"affar","1","basketigna","urban","m",9
"affar","1","benchigna","urban","m",1
"affar","1","bertagna","urban","m",1
"affar","1","bodigna","urban","m",0
"affar","1","brayligna","urban","m",5
"affar","1","burjigna","urban","m",0
"affar","1","benagna","urban","m",0
"affar","1","charigna","urban","m",0
"affar","1","dasenechgna","urban","m",0
"affar","1","dawurogna","urban","m",4
"affar","1","debosgna","urban","m",10
"affar","1","derashigna","urban","m",0
"affar","1","dimegna","urban","m",0
"affar","1","dizigna","urban","m",1
"affar","1","dongigna","urban","m",2
"affar","1","demegna","urban","m",0
"affar","1","felashigna","urban","m",0
"affar","1","fedashigna","urban","m",0
"affar","1","gamogna","urban","m",2
"affar","1","gebatogna","urban","m",0
"affar","1","gedeogna","urban","m",3
"affar","1","gedichogna","urban","m",0
"affar","1","gedoligna","urban","m",0
"affar","1","goffigna","urban","m",0
"affar","1","gumuzigna","urban","m",2
"affar","1","guragiegna","urban","m",69
"affar","1","guagugna","urban","m",2
"affar","1","hadiyigna","urban","m",9
"affar","1","hareriegna","urban","m",1
"affar","1","hamerigna","urban","m",1
"affar","1","irobigna","urban","m",0
"affar","1","keffagna","urban","m",5
"affar","1","kembatigna","urban","m",19
"affar","1","kontigna","urban","m",0
"affar","1","komigna","urban","m",0
"affar","1","konsogna","urban","m",0
"affar","1","koregna","urban","m",1
"affar","1","koygogna","urban","m",0
"affar","1","koyrigna","urban","m",0
"affar","1","kunamigna","urban","m",4
"affar","1","karogna","urban","m",0
"affar","1","kusumegna","urban","m",0
"affar","1","maliegna","urban","m",11
"affar","1","maogna","urban","m",3
"affar","1","marekogna","urban","m",2
"affar","1","mashiligna","urban","m",2
"affar","1","merigna","urban","m",1
"affar","1","me-enigna","urban","m",0
"affar","1","messengogna","urban","m",20
"affar","1","mejengerigna","urban","m",0
"affar","1","mossigna","urban","m",1
"affar","1","mursygna","urban","m",0
