"region","zone","ethnic.group","residence","sex","population"
"amhara","north.gondar","affar","urban","m",213
"amhara","north.gondar","agew-awi","urban","m",147
"amhara","north.gondar","agew.hamyra","urban","m",169
"amhara","north.gondar","alaba","urban","m",84
"amhara","north.gondar","amhara","urban","m",206141
"amhara","north.gondar","anyiwak","urban","m",177
"amhara","north.gondar","argoba","urban","m",82
"amhara","north.gondar","ari","urban","m",103
"amhara","north.gondar","arborie","urban","m",6
"amhara","north.gondar","bacha","urban","m",1
"amhara","north.gondar","basketo","urban","m",1
"amhara","north.gondar","bench","urban","m",42
"amhara","north.gondar","berta","urban","m",46
"amhara","north.gondar","bodi","urban","m",4
"amhara","north.gondar","brayle","urban","m",33
"amhara","north.gondar","burji","urban","m",7
"amhara","north.gondar","bena","urban","m",13
"amhara","north.gondar","chara","urban","m",2
"amhara","north.gondar","dasenech","urban","m",13
"amhara","north.gondar","dawuro","urban","m",24
"amhara","north.gondar","debase-gewada","urban","m",7
"amhara","north.gondar","derashe","urban","m",14
"amhara","north.gondar","dime","urban","m",11
"amhara","north.gondar","dizi","urban","m",0
"amhara","north.gondar","donga","urban","m",43
"amhara","north.gondar","fedashe","urban","m",8
"amhara","north.gondar","gamo","urban","m",15
"amhara","north.gondar","gebato","urban","m",3
"amhara","north.gondar","gedeo","urban","m",5
"amhara","north.gondar","gedicho","urban","m",1
"amhara","north.gondar","gidole","urban","m",4
"amhara","north.gondar","goffa","urban","m",7
"amhara","north.gondar","gumuz","urban","m",124
"amhara","north.gondar","guragie","urban","m",177
"amhara","north.gondar","guagu","urban","m",0
"amhara","north.gondar","hadiya","urban","m",49
"amhara","north.gondar","hareri","urban","m",7
"amhara","north.gondar","hamer","urban","m",1
"amhara","north.gondar","irob","urban","m",8
"amhara","north.gondar","kefficho","urban","m",6
"amhara","north.gondar","kembata","urban","m",34
"amhara","north.gondar","konta","urban","m",0
"amhara","north.gondar","komo","urban","m",1
"amhara","north.gondar","konso","urban","m",5
"amhara","north.gondar","kore","urban","m",11
"amhara","north.gondar","koyego","urban","m",0
"amhara","north.gondar","kunama","urban","m",39
"amhara","north.gondar","karo","urban","m",1
"amhara","north.gondar","kusumie","urban","m",2
"amhara","north.gondar","malie","urban","m",20
"amhara","north.gondar","mao","urban","m",4
"amhara","north.gondar","mareko","urban","m",26
"amhara","north.gondar","mashola","urban","m",4
"amhara","north.gondar","mere","urban","m",5
"amhara","north.gondar","me-enite","urban","m",1
"amhara","north.gondar","messengo","urban","m",16
"amhara","north.gondar","mejenger","urban","m",1
"amhara","north.gondar","mossiye","urban","m",5
"amhara","north.gondar","mursi","urban","m",1
"amhara","north.gondar","murle","urban","m",2
"amhara","north.gondar","nao","urban","m",3
"amhara","north.gondar","nuwer","urban","m",10
"amhara","north.gondar","nyangatom","urban","m",0
"amhara","north.gondar","oromo","urban","m",1064
"amhara","north.gondar","oida","urban","m",0
"amhara","north.gondar","qebena","urban","m",4
"amhara","north.gondar","qechem","urban","m",2
"amhara","north.gondar","qewama","urban","m",1
"amhara","north.gondar","shekecho","urban","m",9
"amhara","north.gondar","sheko","urban","m",1
"amhara","north.gondar","shinasha","urban","m",10
"amhara","north.gondar","sidama","urban","m",17
"amhara","north.gondar","silte","urban","m",19
"amhara","north.gondar","somalie","urban","m",50
"amhara","north.gondar","surma","urban","m",5
"amhara","north.gondar","she","urban","m",3
"amhara","north.gondar","tigrie","urban","m",8037
"amhara","north.gondar","timebaro","urban","m",10
"amhara","north.gondar","tsemay","urban","m",0
"amhara","north.gondar","upo","urban","m",3
"amhara","north.gondar","welaita","urban","m",88
"amhara","north.gondar","werji","urban","m",6
"amhara","north.gondar","yem","urban","m",1
"amhara","north.gondar","zeyese","urban","m",2
"amhara","north.gondar","zelmam","urban","m",1
"amhara","north.gondar","other.ethiopian.national","urban","m",466
"amhara","north.gondar","from.different.parents","urban","m",25
"amhara","north.gondar","eritrean","urban","m",20
"amhara","north.gondar","djiboutian","urban","m",1
"amhara","north.gondar","somalian","urban","m",0
"amhara","north.gondar","kenyan","urban","m",0
"amhara","north.gondar","sudanese","urban","m",49
"amhara","north.gondar","other.foreigners","urban","m",53
"amhara","south.gondar","affar","urban","m",27
"amhara","south.gondar","agew-awi","urban","m",10
"amhara","south.gondar","agew.hamyra","urban","m",32
"amhara","south.gondar","alaba","urban","m",28
"amhara","south.gondar","amhara","urban","m",95352
"amhara","south.gondar","anyiwak","urban","m",79
"amhara","south.gondar","argoba","urban","m",8
"amhara","south.gondar","ari","urban","m",15
"amhara","south.gondar","arborie","urban","m",2
"amhara","south.gondar","bacha","urban","m",0
"amhara","south.gondar","basketo","urban","m",0
"amhara","south.gondar","bench","urban","m",4
"amhara","south.gondar","berta","urban","m",5
"amhara","south.gondar","bodi","urban","m",6
"amhara","south.gondar","brayle","urban","m",17
"amhara","south.gondar","burji","urban","m",0
"amhara","south.gondar","bena","urban","m",0
"amhara","south.gondar","chara","urban","m",0
"amhara","south.gondar","dasenech","urban","m",1
"amhara","south.gondar","dawuro","urban","m",3
"amhara","south.gondar","debase-gewada","urban","m",0
"amhara","south.gondar","derashe","urban","m",1
"amhara","south.gondar","dime","urban","m",2
"amhara","south.gondar","dizi","urban","m",1
"amhara","south.gondar","donga","urban","m",1
"amhara","south.gondar","fedashe","urban","m",0
"amhara","south.gondar","gamo","urban","m",2
"amhara","south.gondar","gebato","urban","m",3
"amhara","south.gondar","gedeo","urban","m",1
"amhara","south.gondar","gedicho","urban","m",0
"amhara","south.gondar","gidole","urban","m",0
"amhara","south.gondar","goffa","urban","m",0
"amhara","south.gondar","gumuz","urban","m",1
"amhara","south.gondar","guragie","urban","m",14
"amhara","south.gondar","guagu","urban","m",0
"amhara","south.gondar","hadiya","urban","m",1
"amhara","south.gondar","hareri","urban","m",1
"amhara","south.gondar","hamer","urban","m",0
"amhara","south.gondar","irob","urban","m",0
"amhara","south.gondar","kefficho","urban","m",0
"amhara","south.gondar","kembata","urban","m",0
"amhara","south.gondar","konta","urban","m",0
"amhara","south.gondar","komo","urban","m",0
"amhara","south.gondar","konso","urban","m",0
"amhara","south.gondar","kore","urban","m",3
"amhara","south.gondar","koyego","urban","m",0
"amhara","south.gondar","kunama","urban","m",6
"amhara","south.gondar","karo","urban","m",0
"amhara","south.gondar","kusumie","urban","m",0
"amhara","south.gondar","malie","urban","m",6
"amhara","south.gondar","mao","urban","m",0
"amhara","south.gondar","mareko","urban","m",7
"amhara","south.gondar","mashola","urban","m",1
"amhara","south.gondar","mere","urban","m",2
"amhara","south.gondar","me-enite","urban","m",0
"amhara","south.gondar","messengo","urban","m",2
"amhara","south.gondar","mejenger","urban","m",1
"amhara","south.gondar","mossiye","urban","m",0
"amhara","south.gondar","mursi","urban","m",0
"amhara","south.gondar","murle","urban","m",0
"amhara","south.gondar","nao","urban","m",0
"amhara","south.gondar","nuwer","urban","m",0
"amhara","south.gondar","nyangatom","urban","m",0
"amhara","south.gondar","oromo","urban","m",39
"amhara","south.gondar","oida","urban","m",0
"amhara","south.gondar","qebena","urban","m",0
"amhara","south.gondar","qechem","urban","m",0
"amhara","south.gondar","qewama","urban","m",0
"amhara","south.gondar","shekecho","urban","m",0
"amhara","south.gondar","sheko","urban","m",0
"amhara","south.gondar","shinasha","urban","m",0
"amhara","south.gondar","sidama","urban","m",1
"amhara","south.gondar","silte","urban","m",1
"amhara","south.gondar","somalie","urban","m",1
"amhara","south.gondar","surma","urban","m",0
"amhara","south.gondar","she","urban","m",1
"amhara","south.gondar","tigrie","urban","m",133
"amhara","south.gondar","timebaro","urban","m",0
"amhara","south.gondar","tsemay","urban","m",0
"amhara","south.gondar","upo","urban","m",0
"amhara","south.gondar","welaita","urban","m",6
"amhara","south.gondar","werji","urban","m",0
"amhara","south.gondar","yem","urban","m",1
"amhara","south.gondar","zeyese","urban","m",0
"amhara","south.gondar","zelmam","urban","m",0
"amhara","south.gondar","other.ethiopian.national","urban","m",0
"amhara","south.gondar","from.different.parents","urban","m",1
"amhara","south.gondar","eritrean","urban","m",4
"amhara","south.gondar","djiboutian","urban","m",0
"amhara","south.gondar","somalian","urban","m",0
"amhara","south.gondar","kenyan","urban","m",0
"amhara","south.gondar","sudanese","urban","m",7
"amhara","south.gondar","other.foreigners","urban","m",9
"amhara","north.wello","affar","urban","m",63
"amhara","north.wello","agew-awi","urban","m",12
