"region","zone","language","residence","sex","population"
"amhara","north.gondar","affarigna","urban","m",184
"amhara","north.gondar","agew-awinigigna","urban","m",122
"amhara","north.gondar","agew-kamyrnya","urban","m",206
"amhara","north.gondar","alabigna","urban","m",80
"amhara","north.gondar","amarigna","urban","m",207759
"amhara","north.gondar","anyiwakgna","urban","m",198
"amhara","north.gondar","argobigna","urban","m",23
"amhara","north.gondar","arigna","urban","m",102
"amhara","north.gondar","arborigna","urban","m",10
"amhara","north.gondar","bachagna","urban","m",2
"amhara","north.gondar","basketigna","urban","m",0
"amhara","north.gondar","benchigna","urban","m",13
"amhara","north.gondar","bertagna","urban","m",62
"amhara","north.gondar","bodigna","urban","m",3
"amhara","north.gondar","brayligna","urban","m",40
"amhara","north.gondar","burjigna","urban","m",6
"amhara","north.gondar","benagna","urban","m",4
"amhara","north.gondar","charigna","urban","m",1
"amhara","north.gondar","dasenechgna","urban","m",4
"amhara","north.gondar","dawurogna","urban","m",16
"amhara","north.gondar","debosgna","urban","m",4
"amhara","north.gondar","derashigna","urban","m",4
"amhara","north.gondar","dimegna","urban","m",8
"amhara","north.gondar","dizigna","urban","m",1
"amhara","north.gondar","dongigna","urban","m",16
"amhara","north.gondar","demegna","urban","m",0
"amhara","north.gondar","felashigna","urban","m",16
"amhara","north.gondar","fedashigna","urban","m",4
"amhara","north.gondar","gamogna","urban","m",13
"amhara","north.gondar","gebatogna","urban","m",4
"amhara","north.gondar","gedeogna","urban","m",7
"amhara","north.gondar","gedichogna","urban","m",1
"amhara","north.gondar","gedoligna","urban","m",4
"amhara","north.gondar","goffigna","urban","m",6
"amhara","north.gondar","gumuzigna","urban","m",126
"amhara","north.gondar","guragiegna","urban","m",107
"amhara","north.gondar","guagugna","urban","m",2
"amhara","north.gondar","hadiyigna","urban","m",38
"amhara","north.gondar","hareriegna","urban","m",7
"amhara","north.gondar","hamerigna","urban","m",1
"amhara","north.gondar","irobigna","urban","m",9
"amhara","north.gondar","keffagna","urban","m",6
"amhara","north.gondar","kembatigna","urban","m",23
"amhara","north.gondar","kontigna","urban","m",0
"amhara","north.gondar","komigna","urban","m",2
"amhara","north.gondar","konsogna","urban","m",5
"amhara","north.gondar","koregna","urban","m",1
"amhara","north.gondar","koygogna","urban","m",0
"amhara","north.gondar","koyrigna","urban","m",6
"amhara","north.gondar","kunamigna","urban","m",44
"amhara","north.gondar","karogna","urban","m",1
"amhara","north.gondar","kusumegna","urban","m",0
"amhara","north.gondar","maliegna","urban","m",11
"amhara","north.gondar","maogna","urban","m",8
"amhara","north.gondar","marekogna","urban","m",17
"amhara","north.gondar","mashiligna","urban","m",4
"amhara","north.gondar","merigna","urban","m",2
"amhara","north.gondar","me-enigna","urban","m",1
"amhara","north.gondar","messengogna","urban","m",9
"amhara","north.gondar","mejengerigna","urban","m",0
"amhara","north.gondar","mossigna","urban","m",5
"amhara","north.gondar","mursygna","urban","m",1
"amhara","north.gondar","murlegna","urban","m",2
"amhara","north.gondar","naogna","urban","m",1
"amhara","north.gondar","nuwerigna","urban","m",7
"amhara","north.gondar","nyangatomigna","urban","m",1
"amhara","north.gondar","oromigna","urban","m",922
"amhara","north.gondar","oydigna","urban","m",2
"amhara","north.gondar","qebenigna","urban","m",2
"amhara","north.gondar","qechemigna","urban","m",1
