"region","zone","ethnic.group","residence","sex","population"
"benishangul-gumuz","metekel","affar","urban","m",5
"benishangul-gumuz","metekel","agew-awi","urban","m",2484
"benishangul-gumuz","metekel","agew.hamyra","urban","m",235
"benishangul-gumuz","metekel","alaba","urban","m",4
"benishangul-gumuz","metekel","amhara","urban","m",7709
"benishangul-gumuz","metekel","anyiwak","urban","m",7
"benishangul-gumuz","metekel","argoba","urban","m",3
"benishangul-gumuz","metekel","ari","urban","m",5
"benishangul-gumuz","metekel","arborie","urban","m",0
"benishangul-gumuz","metekel","bacha","urban","m",0
"benishangul-gumuz","metekel","basketo","urban","m",0
"benishangul-gumuz","metekel","bench","urban","m",0
"benishangul-gumuz","metekel","berta","urban","m",67
"benishangul-gumuz","metekel","bodi","urban","m",0
"benishangul-gumuz","metekel","brayle","urban","m",1
"benishangul-gumuz","metekel","burji","urban","m",1
"benishangul-gumuz","metekel","bena","urban","m",0
"benishangul-gumuz","metekel","chara","urban","m",0
"benishangul-gumuz","metekel","dasenech","urban","m",0
"benishangul-gumuz","metekel","dawuro","urban","m",0
"benishangul-gumuz","metekel","debase-gewada","urban","m",0
"benishangul-gumuz","metekel","derashe","urban","m",0
"benishangul-gumuz","metekel","dime","urban","m",0
"benishangul-gumuz","metekel","dizi","urban","m",0
"benishangul-gumuz","metekel","donga","urban","m",7
"benishangul-gumuz","metekel","fedashe","urban","m",0
"benishangul-gumuz","metekel","gamo","urban","m",0
"benishangul-gumuz","metekel","gebato","urban","m",0
"benishangul-gumuz","metekel","gedeo","urban","m",0
"benishangul-gumuz","metekel","gedicho","urban","m",0
"benishangul-gumuz","metekel","gidole","urban","m",0
"benishangul-gumuz","metekel","goffa","urban","m",1
"benishangul-gumuz","metekel","gumuz","urban","m",1959
"benishangul-gumuz","metekel","guragie","urban","m",13
"benishangul-gumuz","metekel","guagu","urban","m",0
"benishangul-gumuz","metekel","hadiya","urban","m",2
"benishangul-gumuz","metekel","hareri","urban","m",0
"benishangul-gumuz","metekel","hamer","urban","m",0
"benishangul-gumuz","metekel","irob","urban","m",0
"benishangul-gumuz","metekel","kefficho","urban","m",3
"benishangul-gumuz","metekel","kembata","urban","m",9
"benishangul-gumuz","metekel","konta","urban","m",1
"benishangul-gumuz","metekel","komo","urban","m",0
"benishangul-gumuz","metekel","konso","urban","m",0
"benishangul-gumuz","metekel","kore","urban","m",5
"benishangul-gumuz","metekel","koyego","urban","m",0
"benishangul-gumuz","metekel","kunama","urban","m",0
"benishangul-gumuz","metekel","karo","urban","m",0
"benishangul-gumuz","metekel","kusumie","urban","m",0
"benishangul-gumuz","metekel","malie","urban","m",0
"benishangul-gumuz","metekel","mao","urban","m",2
"benishangul-gumuz","metekel","mareko","urban","m",1
"benishangul-gumuz","metekel","mashola","urban","m",0
"benishangul-gumuz","metekel","mere","urban","m",0
"benishangul-gumuz","metekel","me-enite","urban","m",0
"benishangul-gumuz","metekel","messengo","urban","m",1
"benishangul-gumuz","metekel","mejenger","urban","m",0
"benishangul-gumuz","metekel","mossiye","urban","m",0
"benishangul-gumuz","metekel","mursi","urban","m",0
"benishangul-gumuz","metekel","murle","urban","m",1
"benishangul-gumuz","metekel","nao","urban","m",8
"benishangul-gumuz","metekel","nuwer","urban","m",0
"benishangul-gumuz","metekel","nyangatom","urban","m",3
"benishangul-gumuz","metekel","oromo","urban","m",1254
"benishangul-gumuz","metekel","oida","urban","m",0
"benishangul-gumuz","metekel","qebena","urban","m",0
"benishangul-gumuz","metekel","qechem","urban","m",0
"benishangul-gumuz","metekel","qewama","urban","m",0
"benishangul-gumuz","metekel","shekecho","urban","m",0
"benishangul-gumuz","metekel","sheko","urban","m",1
"benishangul-gumuz","metekel","shinasha","urban","m",4348
"benishangul-gumuz","metekel","sidama","urban","m",4
"benishangul-gumuz","metekel","silte","urban","m",5
"benishangul-gumuz","metekel","somalie","urban","m",4
"benishangul-gumuz","metekel","surma","urban","m",0
"benishangul-gumuz","metekel","she","urban","m",0
"benishangul-gumuz","metekel","tigrie","urban","m",549
"benishangul-gumuz","metekel","timebaro","urban","m",0
"benishangul-gumuz","metekel","tsemay","urban","m",0
"benishangul-gumuz","metekel","upo","urban","m",0
"benishangul-gumuz","metekel","welaita","urban","m",14
"benishangul-gumuz","metekel","werji","urban","m",0
"benishangul-gumuz","metekel","yem","urban","m",0
"benishangul-gumuz","metekel","zeyese","urban","m",1
"benishangul-gumuz","metekel","zelmam","urban","m",0
