"region","zone","language","residence","sex","population"
"benishangul-gumuz","metekel","affarigna","urban","m",2
"benishangul-gumuz","metekel","agew-awinigigna","urban","m",2067
"benishangul-gumuz","metekel","agew-kamyrnya","urban","m",192
"benishangul-gumuz","metekel","alabigna","urban","m",6
"benishangul-gumuz","metekel","amarigna","urban","m",8653
"benishangul-gumuz","metekel","anyiwakgna","urban","m",7
"benishangul-gumuz","metekel","argobigna","urban","m",1
"benishangul-gumuz","metekel","arigna","urban","m",2
"benishangul-gumuz","metekel","arborigna","urban","m",0
"benishangul-gumuz","metekel","bachagna","urban","m",1
"benishangul-gumuz","metekel","basketigna","urban","m",0
"benishangul-gumuz","metekel","benchigna","urban","m",0
"benishangul-gumuz","metekel","bertagna","urban","m",86
"benishangul-gumuz","metekel","bodigna","urban","m",1
"benishangul-gumuz","metekel","brayligna","urban","m",3
"benishangul-gumuz","metekel","burjigna","urban","m",1
"benishangul-gumuz","metekel","benagna","urban","m",0
"benishangul-gumuz","metekel","charigna","urban","m",0
"benishangul-gumuz","metekel","dasenechgna","urban","m",0
"benishangul-gumuz","metekel","dawurogna","urban","m",0
"benishangul-gumuz","metekel","debosgna","urban","m",0
"benishangul-gumuz","metekel","derashigna","urban","m",0
"benishangul-gumuz","metekel","dimegna","urban","m",0
"benishangul-gumuz","metekel","dizigna","urban","m",0
"benishangul-gumuz","metekel","dongigna","urban","m",2
"benishangul-gumuz","metekel","demegna","urban","m",0
"benishangul-gumuz","metekel","felashigna","urban","m",1
"benishangul-gumuz","metekel","fedashigna","urban","m",0
"benishangul-gumuz","metekel","gamogna","urban","m",0
"benishangul-gumuz","metekel","gebatogna","urban","m",2
"benishangul-gumuz","metekel","gedeogna","urban","m",0
"benishangul-gumuz","metekel","gedichogna","urban","m",1
"benishangul-gumuz","metekel","gedoligna","urban","m",0
"benishangul-gumuz","metekel","goffigna","urban","m",0
"benishangul-gumuz","metekel","gumuzigna","urban","m",1857
"benishangul-gumuz","metekel","guragiegna","urban","m",9
"benishangul-gumuz","metekel","guagugna","urban","m",3
"benishangul-gumuz","metekel","hadiyigna","urban","m",3
"benishangul-gumuz","metekel","hareriegna","urban","m",0
"benishangul-gumuz","metekel","hamerigna","urban","m",0
"benishangul-gumuz","metekel","irobigna","urban","m",0
"benishangul-gumuz","metekel","keffagna","urban","m",1
"benishangul-gumuz","metekel","kembatigna","urban","m",9
"benishangul-gumuz","metekel","kontigna","urban","m",2
"benishangul-gumuz","metekel","komigna","urban","m",0
"benishangul-gumuz","metekel","konsogna","urban","m",0
"benishangul-gumuz","metekel","koregna","urban","m",4
"benishangul-gumuz","metekel","koygogna","urban","m",0
"benishangul-gumuz","metekel","koyrigna","urban","m",0
"benishangul-gumuz","metekel","kunamigna","urban","m",6
"benishangul-gumuz","metekel","karogna","urban","m",0
"benishangul-gumuz","metekel","kusumegna","urban","m",0
"benishangul-gumuz","metekel","maliegna","urban","m",0
"benishangul-gumuz","metekel","maogna","urban","m",2
"benishangul-gumuz","metekel","marekogna","urban","m",0
"benishangul-gumuz","metekel","mashiligna","urban","m",0
"benishangul-gumuz","metekel","merigna","urban","m",0
"benishangul-gumuz","metekel","me-enigna","urban","m",0
"benishangul-gumuz","metekel","messengogna","urban","m",1
"benishangul-gumuz","metekel","mejengerigna","urban","m",0
"benishangul-gumuz","metekel","mossigna","urban","m",1
"benishangul-gumuz","metekel","mursygna","urban","m",1
"benishangul-gumuz","metekel","murlegna","urban","m",0
"benishangul-gumuz","metekel","naogna","urban","m",7
"benishangul-gumuz","metekel","nuwerigna","urban","m",0
"benishangul-gumuz","metekel","nyangatomigna","urban","m",2
"benishangul-gumuz","metekel","oromigna","urban","m",2271
"benishangul-gumuz","metekel","oydigna","urban","m",0
"benishangul-gumuz","metekel","qebenigna","urban","m",0
"benishangul-gumuz","metekel","qechemigna","urban","m",0
"benishangul-gumuz","metekel","qewamigna","urban","m",0
"benishangul-gumuz","metekel","shekacho","urban","m",0
"benishangul-gumuz","metekel","shekogna","urban","m",0
"benishangul-gumuz","metekel","shinashigna","urban","m",3025
"benishangul-gumuz","metekel","sidamigna","urban","m",4
"benishangul-gumuz","metekel","shitagna","urban","m",1
"benishangul-gumuz","metekel","somaligna","urban","m",2
"benishangul-gumuz","metekel","surmagna","urban","m",0
"benishangul-gumuz","metekel","shegna","urban","m",0
"benishangul-gumuz","metekel","shetagna","urban","m",0
"benishangul-gumuz","metekel","tigrigna","urban","m",481
"benishangul-gumuz","metekel","tembarogna","urban","m",0
"benishangul-gumuz","metekel","tsemayigna","urban","m",0
"benishangul-gumuz","metekel","upo","urban","m",0
"benishangul-gumuz","metekel","welaitigna","urban","m",11
"benishangul-gumuz","metekel","wergigna","urban","m",0
"benishangul-gumuz","metekel","yemsagna","urban","m",0
"benishangul-gumuz","metekel","zeysegna","urban","m",1
"benishangul-gumuz","metekel","zlmamigna","urban","m",0
"benishangul-gumuz","metekel","other.ethiopian.languages","urban","m",0
"benishangul-gumuz","metekel","english","urban","m",0
"benishangul-gumuz","metekel","other.foreign.languages","urban","m",1
"benishangul-gumuz","asossa","affarigna","urban","m",6
"benishangul-gumuz","asossa","agew-awinigigna","urban","m",32
"benishangul-gumuz","asossa","agew-kamyrnya","urban","m",23
"benishangul-gumuz","asossa","alabigna","urban","m",4
"benishangul-gumuz","asossa","amarigna","urban","m",7829
"benishangul-gumuz","asossa","anyiwakgna","urban","m",11
"benishangul-gumuz","asossa","argobigna","urban","m",6
"benishangul-gumuz","asossa","arigna","urban","m",3
"benishangul-gumuz","asossa","arborigna","urban","m",0
"benishangul-gumuz","asossa","bachagna","urban","m",0
"benishangul-gumuz","asossa","basketigna","urban","m",4
"benishangul-gumuz","asossa","benchigna","urban","m",2
"benishangul-gumuz","asossa","bertagna","urban","m",4594
"benishangul-gumuz","asossa","bodigna","urban","m",4
"benishangul-gumuz","asossa","brayligna","urban","m",5
"benishangul-gumuz","asossa","burjigna","urban","m",0
"benishangul-gumuz","asossa","benagna","urban","m",1
"benishangul-gumuz","asossa","charigna","urban","m",0
"benishangul-gumuz","asossa","dasenechgna","urban","m",0
"benishangul-gumuz","asossa","dawurogna","urban","m",3
"benishangul-gumuz","asossa","debosgna","urban","m",0
"benishangul-gumuz","asossa","derashigna","urban","m",0
"benishangul-gumuz","asossa","dimegna","urban","m",2
"benishangul-gumuz","asossa","dizigna","urban","m",0
"benishangul-gumuz","asossa","dongigna","urban","m",1
"benishangul-gumuz","asossa","demegna","urban","m",1
"benishangul-gumuz","asossa","felashigna","urban","m",1
"benishangul-gumuz","asossa","fedashigna","urban","m",4
"benishangul-gumuz","asossa","gamogna","urban","m",4
"benishangul-gumuz","asossa","gebatogna","urban","m",0
"benishangul-gumuz","asossa","gedeogna","urban","m",0
"benishangul-gumuz","asossa","gedichogna","urban","m",0
"benishangul-gumuz","asossa","gedoligna","urban","m",1
"benishangul-gumuz","asossa","goffigna","urban","m",1
"benishangul-gumuz","asossa","gumuzigna","urban","m",133
"benishangul-gumuz","asossa","guragiegna","urban","m",445
"benishangul-gumuz","asossa","guagugna","urban","m",11
"benishangul-gumuz","asossa","hadiyigna","urban","m",10
"benishangul-gumuz","asossa","hareriegna","urban","m",0
"benishangul-gumuz","asossa","hamerigna","urban","m",0
"benishangul-gumuz","asossa","irobigna","urban","m",0
"benishangul-gumuz","asossa","keffagna","urban","m",6
"benishangul-gumuz","asossa","kembatigna","urban","m",10
"benishangul-gumuz","asossa","kontigna","urban","m",0
"benishangul-gumuz","asossa","komigna","urban","m",1
"benishangul-gumuz","asossa","konsogna","urban","m",0
"benishangul-gumuz","asossa","koregna","urban","m",0
"benishangul-gumuz","asossa","koygogna","urban","m",0
"benishangul-gumuz","asossa","koyrigna","urban","m",0
"benishangul-gumuz","asossa","kunamigna","urban","m",2
"benishangul-gumuz","asossa","karogna","urban","m",0
"benishangul-gumuz","asossa","kusumegna","urban","m",0
"benishangul-gumuz","asossa","maliegna","urban","m",5
"benishangul-gumuz","asossa","maogna","urban","m",61
"benishangul-gumuz","asossa","marekogna","urban","m",1
"benishangul-gumuz","asossa","mashiligna","urban","m",1
"benishangul-gumuz","asossa","merigna","urban","m",2
"benishangul-gumuz","asossa","me-enigna","urban","m",0
"benishangul-gumuz","asossa","messengogna","urban","m",2
"benishangul-gumuz","asossa","mejengerigna","urban","m",0
"benishangul-gumuz","asossa","mossigna","urban","m",0
"benishangul-gumuz","asossa","mursygna","urban","m",0
"benishangul-gumuz","asossa","murlegna","urban","m",0
"benishangul-gumuz","asossa","naogna","urban","m",3
"benishangul-gumuz","asossa","nuwerigna","urban","m",56
"benishangul-gumuz","asossa","nyangatomigna","urban","m",5
"benishangul-gumuz","asossa","oromigna","urban","m",6448
"benishangul-gumuz","asossa","oydigna","urban","m",2
"benishangul-gumuz","asossa","qebenigna","urban","m",1
"benishangul-gumuz","asossa","qechemigna","urban","m",1
"benishangul-gumuz","asossa","qewamigna","urban","m",0
"benishangul-gumuz","asossa","shekacho","urban","m",1
"benishangul-gumuz","asossa","shekogna","urban","m",0
"benishangul-gumuz","asossa","shinashigna","urban","m",166
"benishangul-gumuz","asossa","sidamigna","urban","m",19
"benishangul-gumuz","asossa","shitagna","urban","m",30
"benishangul-gumuz","asossa","somaligna","urban","m",2
"benishangul-gumuz","asossa","surmagna","urban","m",1
"benishangul-gumuz","asossa","shegna","urban","m",0
"benishangul-gumuz","asossa","shetagna","urban","m",0
"benishangul-gumuz","asossa","tigrigna","urban","m",700
"benishangul-gumuz","asossa","tembarogna","urban","m",1
"benishangul-gumuz","asossa","tsemayigna","urban","m",0
"benishangul-gumuz","asossa","upo","urban","m",5
"benishangul-gumuz","asossa","welaitigna","urban","m",20
"benishangul-gumuz","asossa","wergigna","urban","m",0
"benishangul-gumuz","asossa","yemsagna","urban","m",0
"benishangul-gumuz","asossa","zeysegna","urban","m",0
"benishangul-gumuz","asossa","zlmamigna","urban","m",0
"benishangul-gumuz","asossa","other.ethiopian.languages","urban","m",0
"benishangul-gumuz","asossa","english","urban","m",5
"benishangul-gumuz","asossa","other.foreign.languages","urban","m",28
"benishangul-gumuz","kemashi","affarigna","urban","m",3
"benishangul-gumuz","kemashi","agew-awinigigna","urban","m",29
"benishangul-gumuz","kemashi","agew-kamyrnya","urban","m",19
"benishangul-gumuz","kemashi","alabigna","urban","m",0
"benishangul-gumuz","kemashi","amarigna","urban","m",866
"benishangul-gumuz","kemashi","anyiwakgna","urban","m",1
"benishangul-gumuz","kemashi","argobigna","urban","m",1
"benishangul-gumuz","kemashi","arigna","urban","m",0
"benishangul-gumuz","kemashi","arborigna","urban","m",2
"benishangul-gumuz","kemashi","bachagna","urban","m",0
"benishangul-gumuz","kemashi","basketigna","urban","m",0
"benishangul-gumuz","kemashi","benchigna","urban","m",0
"benishangul-gumuz","kemashi","bertagna","urban","m",73
"benishangul-gumuz","kemashi","bodigna","urban","m",0
"benishangul-gumuz","kemashi","brayligna","urban","m",0
"benishangul-gumuz","kemashi","burjigna","urban","m",0
"benishangul-gumuz","kemashi","benagna","urban","m",0
"benishangul-gumuz","kemashi","charigna","urban","m",0
"benishangul-gumuz","kemashi","dasenechgna","urban","m",0
"benishangul-gumuz","kemashi","dawurogna","urban","m",0
"benishangul-gumuz","kemashi","debosgna","urban","m",0
"benishangul-gumuz","kemashi","derashigna","urban","m",0
"benishangul-gumuz","kemashi","dimegna","urban","m",1
"benishangul-gumuz","kemashi","dizigna","urban","m",0
"benishangul-gumuz","kemashi","dongigna","urban","m",0
"benishangul-gumuz","kemashi","demegna","urban","m",0
"benishangul-gumuz","kemashi","felashigna","urban","m",0
"benishangul-gumuz","kemashi","fedashigna","urban","m",0
"benishangul-gumuz","kemashi","gamogna","urban","m",3
"benishangul-gumuz","kemashi","gebatogna","urban","m",0
"benishangul-gumuz","kemashi","gedeogna","urban","m",0
"benishangul-gumuz","kemashi","gedichogna","urban","m",0
"benishangul-gumuz","kemashi","gedoligna","urban","m",0
"benishangul-gumuz","kemashi","goffigna","urban","m",1
"benishangul-gumuz","kemashi","gumuzigna","urban","m",2975
"benishangul-gumuz","kemashi","guragiegna","urban","m",13
"benishangul-gumuz","kemashi","guagugna","urban","m",0
"benishangul-gumuz","kemashi","hadiyigna","urban","m",5
"benishangul-gumuz","kemashi","hareriegna","urban","m",0
"benishangul-gumuz","kemashi","hamerigna","urban","m",0
"benishangul-gumuz","kemashi","irobigna","urban","m",0
"benishangul-gumuz","kemashi","keffagna","urban","m",0
"benishangul-gumuz","kemashi","kembatigna","urban","m",1
"benishangul-gumuz","kemashi","kontigna","urban","m",0
"benishangul-gumuz","kemashi","komigna","urban","m",0
"benishangul-gumuz","kemashi","konsogna","urban","m",0
