"region","zone","ethnic.group","residence","sex","population"
"dire.dawa","administration","affar","urban","m",83
"dire.dawa","administration","agew-awi","urban","m",21
"dire.dawa","administration","agew.hamyra","urban","m",79
"dire.dawa","administration","alaba","urban","m",61
"dire.dawa","administration","amhara","urban","m",31851
"dire.dawa","administration","anyiwak","urban","m",85
"dire.dawa","administration","argoba","urban","m",119
"dire.dawa","administration","ari","urban","m",24
"dire.dawa","administration","arborie","urban","m",4
"dire.dawa","administration","bacha","urban","m",0
"dire.dawa","administration","basketo","urban","m",0
"dire.dawa","administration","bench","urban","m",25
"dire.dawa","administration","berta","urban","m",103
"dire.dawa","administration","bodi","urban","m",5
"dire.dawa","administration","brayle","urban","m",43
"dire.dawa","administration","burji","urban","m",101
"dire.dawa","administration","bena","urban","m",12
"dire.dawa","administration","chara","urban","m",2
"dire.dawa","administration","dasenech","urban","m",7
"dire.dawa","administration","dawuro","urban","m",20
"dire.dawa","administration","debase-gewada","urban","m",8
"dire.dawa","administration","derashe","urban","m",6
"dire.dawa","administration","dime","urban","m",0
"dire.dawa","administration","dizi","urban","m",4
"dire.dawa","administration","donga","urban","m",25
"dire.dawa","administration","fedashe","urban","m",4
"dire.dawa","administration","gamo","urban","m",34
"dire.dawa","administration","gebato","urban","m",9
"dire.dawa","administration","gedeo","urban","m",12
"dire.dawa","administration","gedicho","urban","m",4
"dire.dawa","administration","gidole","urban","m",25
"dire.dawa","administration","goffa","urban","m",13
"dire.dawa","administration","gumuz","urban","m",57
"dire.dawa","administration","guragie","urban","m",8218
"dire.dawa","administration","guagu","urban","m",0
"dire.dawa","administration","hadiya","urban","m",1035
"dire.dawa","administration","hareri","urban","m",1756
"dire.dawa","administration","hamer","urban","m",2
"dire.dawa","administration","irob","urban","m",28
"dire.dawa","administration","kefficho","urban","m",34
"dire.dawa","administration","kembata","urban","m",162
"dire.dawa","administration","konta","urban","m",6
"dire.dawa","administration","komo","urban","m",6
"dire.dawa","administration","konso","urban","m",1
"dire.dawa","administration","kore","urban","m",18
"dire.dawa","administration","koyego","urban","m",25
"dire.dawa","administration","kunama","urban","m",3
"dire.dawa","administration","karo","urban","m",1
"dire.dawa","administration","kusumie","urban","m",0
"dire.dawa","administration","malie","urban","m",196
"dire.dawa","administration","mao","urban","m",78
"dire.dawa","administration","mareko","urban","m",88
"dire.dawa","administration","mashola","urban","m",25
"dire.dawa","administration","mere","urban","m",17
"dire.dawa","administration","me-enite","urban","m",8
"dire.dawa","administration","messengo","urban","m",60
"dire.dawa","administration","mejenger","urban","m",8
"dire.dawa","administration","mossiye","urban","m",12
"dire.dawa","administration","mursi","urban","m",10
"dire.dawa","administration","murle","urban","m",22
"dire.dawa","administration","nao","urban","m",21
"dire.dawa","administration","nuwer","urban","m",18
"dire.dawa","administration","nyangatom","urban","m",34
"dire.dawa","administration","oromo","urban","m",38567
"dire.dawa","administration","oida","urban","m",18
"dire.dawa","administration","qebena","urban","m",341
"dire.dawa","administration","qechem","urban","m",1
"dire.dawa","administration","qewama","urban","m",1
"dire.dawa","administration","shekecho","urban","m",3
"dire.dawa","administration","sheko","urban","m",3
"dire.dawa","administration","shinasha","urban","m",0
"dire.dawa","administration","sidama","urban","m",41
"dire.dawa","administration","silte","urban","m",310
"dire.dawa","administration","somalie","urban","m",28596
"dire.dawa","administration","surma","urban","m",24
"dire.dawa","administration","she","urban","m",14
"dire.dawa","administration","tigrie","urban","m",2262
"dire.dawa","administration","timebaro","urban","m",2
"dire.dawa","administration","tsemay","urban","m",1
"dire.dawa","administration","upo","urban","m",2
"dire.dawa","administration","welaita","urban","m",242
"dire.dawa","administration","werji","urban","m",36
"dire.dawa","administration","yem","urban","m",3
"dire.dawa","administration","zeyese","urban","m",1
"dire.dawa","administration","zelmam","urban","m",1
"dire.dawa","administration","other.ethiopian.national","urban","m",55
"dire.dawa","administration","from.different.parents","urban","m",498
"dire.dawa","administration","eritrean","urban","m",86
