"region","zone","language","residence","sex","population"
"dire.dawa","administration","affarigna","urban","m",40
"dire.dawa","administration","agew-awinigigna","urban","m",14
"dire.dawa","administration","agew-kamyrnya","urban","m",31
"dire.dawa","administration","alabigna","urban","m",40
"dire.dawa","administration","amarigna","urban","m",42716
"dire.dawa","administration","anyiwakgna","urban","m",51
"dire.dawa","administration","argobigna","urban","m",75
"dire.dawa","administration","arigna","urban","m",15
"dire.dawa","administration","arborigna","urban","m",3
"dire.dawa","administration","bachagna","urban","m",0
"dire.dawa","administration","basketigna","urban","m",0
"dire.dawa","administration","benchigna","urban","m",5
"dire.dawa","administration","bertagna","urban","m",76
"dire.dawa","administration","bodigna","urban","m",2
"dire.dawa","administration","brayligna","urban","m",6
"dire.dawa","administration","burjigna","urban","m",6
"dire.dawa","administration","benagna","urban","m",3
"dire.dawa","administration","charigna","urban","m",2
"dire.dawa","administration","dasenechgna","urban","m",1
"dire.dawa","administration","dawurogna","urban","m",16
"dire.dawa","administration","debosgna","urban","m",1
"dire.dawa","administration","derashigna","urban","m",1
"dire.dawa","administration","dimegna","urban","m",1
"dire.dawa","administration","dizigna","urban","m",0
"dire.dawa","administration","dongigna","urban","m",39
"dire.dawa","administration","demegna","urban","m",2
"dire.dawa","administration","felashigna","urban","m",7
"dire.dawa","administration","fedashigna","urban","m",0
"dire.dawa","administration","gamogna","urban","m",16
"dire.dawa","administration","gebatogna","urban","m",2
"dire.dawa","administration","gedeogna","urban","m",2
"dire.dawa","administration","gedichogna","urban","m",0
"dire.dawa","administration","gedoligna","urban","m",1
"dire.dawa","administration","goffigna","urban","m",7
"dire.dawa","administration","gumuzigna","urban","m",31
"dire.dawa","administration","guragiegna","urban","m",5190
"dire.dawa","administration","guagugna","urban","m",32
"dire.dawa","administration","hadiyigna","urban","m",664
"dire.dawa","administration","hareriegna","urban","m",1664
"dire.dawa","administration","hamerigna","urban","m",1
"dire.dawa","administration","irobigna","urban","m",16
"dire.dawa","administration","keffagna","urban","m",22
"dire.dawa","administration","kembatigna","urban","m",99
"dire.dawa","administration","kontigna","urban","m",4
"dire.dawa","administration","komigna","urban","m",7
"dire.dawa","administration","konsogna","urban","m",4
"dire.dawa","administration","koregna","urban","m",3
"dire.dawa","administration","koygogna","urban","m",22
"dire.dawa","administration","koyrigna","urban","m",6
"dire.dawa","administration","kunamigna","urban","m",6
"dire.dawa","administration","karogna","urban","m",0
"dire.dawa","administration","kusumegna","urban","m",0
"dire.dawa","administration","maliegna","urban","m",95
"dire.dawa","administration","maogna","urban","m",68
"dire.dawa","administration","marekogna","urban","m",44
"dire.dawa","administration","mashiligna","urban","m",12
"dire.dawa","administration","merigna","urban","m",13
"dire.dawa","administration","me-enigna","urban","m",8
"dire.dawa","administration","messengogna","urban","m",26
"dire.dawa","administration","mejengerigna","urban","m",0
"dire.dawa","administration","mossigna","urban","m",7
"dire.dawa","administration","mursygna","urban","m",2
"dire.dawa","administration","murlegna","urban","m",17
"dire.dawa","administration","naogna","urban","m",12
"dire.dawa","administration","nuwerigna","urban","m",26
"dire.dawa","administration","nyangatomigna","urban","m",20
"dire.dawa","administration","oromigna","urban","m",34870
"dire.dawa","administration","oydigna","urban","m",18
"dire.dawa","administration","qebenigna","urban","m",303
"dire.dawa","administration","qechemigna","urban","m",0
"dire.dawa","administration","qewamigna","urban","m",2
"dire.dawa","administration","shekacho","urban","m",2
"dire.dawa","administration","shekogna","urban","m",3
"dire.dawa","administration","shinashigna","urban","m",2
"dire.dawa","administration","sidamigna","urban","m",26
"dire.dawa","administration","shitagna","urban","m",202
"dire.dawa","administration","somaligna","urban","m",27926
"dire.dawa","administration","surmagna","urban","m",25
"dire.dawa","administration","shegna","urban","m",7
"dire.dawa","administration","shetagna","urban","m",0
"dire.dawa","administration","tigrigna","urban","m",1206
"dire.dawa","administration","tembarogna","urban","m",5
"dire.dawa","administration","tsemayigna","urban","m",1
"dire.dawa","administration","upo","urban","m",1
"dire.dawa","administration","welaitigna","urban","m",151
"dire.dawa","administration","wergigna","urban","m",0
"dire.dawa","administration","yemsagna","urban","m",2
"dire.dawa","administration","zeysegna","urban","m",7
"dire.dawa","administration","zlmamigna","urban","m",1
"dire.dawa","administration","other.ethiopian.languages","urban","m",14
"dire.dawa","administration","english","urban","m",21
"dire.dawa","administration","other.foreign.languages","urban","m",135
"dire.dawa","administration","affarigna","urban","f",45
"dire.dawa","administration","agew-awinigigna","urban","f",13
"dire.dawa","administration","agew-kamyrnya","urban","f",25
"dire.dawa","administration","alabigna","urban","f",37
"dire.dawa","administration","amarigna","urban","f",47460
"dire.dawa","administration","anyiwakgna","urban","f",56
"dire.dawa","administration","argobigna","urban","f",60
"dire.dawa","administration","arigna","urban","f",9
"dire.dawa","administration","arborigna","urban","f",8
"dire.dawa","administration","bachagna","urban","f",0
"dire.dawa","administration","basketigna","urban","f",1
"dire.dawa","administration","benchigna","urban","f",0
"dire.dawa","administration","bertagna","urban","f",79
"dire.dawa","administration","bodigna","urban","f",2
"dire.dawa","administration","brayligna","urban","f",10
