"region","zone","ethnic.group","residence","sex","population"
"gambela","agnewak","affar","urban","m",22
"gambela","agnewak","agew-awi","urban","m",5
"gambela","agnewak","agew.hamyra","urban","m",4
"gambela","agnewak","alaba","urban","m",25
"gambela","agnewak","amhara","urban","m",3444
"gambela","agnewak","anyiwak","urban","m",8978
"gambela","agnewak","argoba","urban","m",15
"gambela","agnewak","ari","urban","m",5
"gambela","agnewak","arborie","urban","m",2
"gambela","agnewak","bacha","urban","m",0
"gambela","agnewak","basketo","urban","m",2
"gambela","agnewak","bench","urban","m",13
"gambela","agnewak","berta","urban","m",0
"gambela","agnewak","bodi","urban","m",0
"gambela","agnewak","brayle","urban","m",2
"gambela","agnewak","burji","urban","m",1
"gambela","agnewak","bena","urban","m",0
"gambela","agnewak","chara","urban","m",1
"gambela","agnewak","dasenech","urban","m",0
"gambela","agnewak","dawuro","urban","m",74
"gambela","agnewak","debase-gewada","urban","m",2
"gambela","agnewak","derashe","urban","m",0
"gambela","agnewak","dime","urban","m",4
"gambela","agnewak","dizi","urban","m",8
"gambela","agnewak","donga","urban","m",1
"gambela","agnewak","fedashe","urban","m",3
"gambela","agnewak","gamo","urban","m",2
"gambela","agnewak","gebato","urban","m",0
"gambela","agnewak","gedeo","urban","m",1
"gambela","agnewak","gedicho","urban","m",0
"gambela","agnewak","gidole","urban","m",0
"gambela","agnewak","goffa","urban","m",18
"gambela","agnewak","gumuz","urban","m",1
"gambela","agnewak","guragie","urban","m",881
"gambela","agnewak","guagu","urban","m",0
"gambela","agnewak","hadiya","urban","m",289
"gambela","agnewak","hareri","urban","m",1
"gambela","agnewak","hamer","urban","m",1
"gambela","agnewak","irob","urban","m",0
"gambela","agnewak","kefficho","urban","m",210
"gambela","agnewak","kembata","urban","m",941
"gambela","agnewak","konta","urban","m",1
"gambela","agnewak","komo","urban","m",53
"gambela","agnewak","konso","urban","m",1
"gambela","agnewak","kore","urban","m",1
"gambela","agnewak","koyego","urban","m",0
"gambela","agnewak","kunama","urban","m",1
"gambela","agnewak","karo","urban","m",0
"gambela","agnewak","kusumie","urban","m",0
"gambela","agnewak","malie","urban","m",49
"gambela","agnewak","mao","urban","m",37
"gambela","agnewak","mareko","urban","m",17
"gambela","agnewak","mashola","urban","m",6
"gambela","agnewak","mere","urban","m",2
"gambela","agnewak","me-enite","urban","m",1
"gambela","agnewak","messengo","urban","m",25
"gambela","agnewak","mejenger","urban","m",297
"gambela","agnewak","mossiye","urban","m",3
"gambela","agnewak","mursi","urban","m",1
"gambela","agnewak","murle","urban","m",5
"gambela","agnewak","nao","urban","m",6
"gambela","agnewak","nuwer","urban","m",5870
"gambela","agnewak","nyangatom","urban","m",3
"gambela","agnewak","oromo","urban","m",4206
"gambela","agnewak","oida","urban","m",4
"gambela","agnewak","qebena","urban","m",5
"gambela","agnewak","qechem","urban","m",0
"gambela","agnewak","qewama","urban","m",0
"gambela","agnewak","shekecho","urban","m",29
"gambela","agnewak","sheko","urban","m",8
"gambela","agnewak","shinasha","urban","m",35
"gambela","agnewak","sidama","urban","m",13
"gambela","agnewak","silte","urban","m",53
"gambela","agnewak","somalie","urban","m",7
"gambela","agnewak","surma","urban","m",10
"gambela","agnewak","she","urban","m",0
