"region","zone","language","residence","sex","population"
"gambela","agnewak","affarigna","urban","m",18
"gambela","agnewak","agew-awinigigna","urban","m",5
"gambela","agnewak","agew-kamyrnya","urban","m",9
"gambela","agnewak","alabigna","urban","m",25
"gambela","agnewak","amarigna","urban","m",4399
"gambela","agnewak","anyiwakgna","urban","m",9137
"gambela","agnewak","argobigna","urban","m",14
"gambela","agnewak","arigna","urban","m",6
"gambela","agnewak","arborigna","urban","m",0
"gambela","agnewak","bachagna","urban","m",0
"gambela","agnewak","basketigna","urban","m",2
"gambela","agnewak","benchigna","urban","m",13
"gambela","agnewak","bertagna","urban","m",1
"gambela","agnewak","bodigna","urban","m",0
"gambela","agnewak","brayligna","urban","m",0
"gambela","agnewak","burjigna","urban","m",0
"gambela","agnewak","benagna","urban","m",0
"gambela","agnewak","charigna","urban","m",1
"gambela","agnewak","dasenechgna","urban","m",0
"gambela","agnewak","dawurogna","urban","m",64
"gambela","agnewak","debosgna","urban","m",0
"gambela","agnewak","derashigna","urban","m",2
"gambela","agnewak","dimegna","urban","m",1
"gambela","agnewak","dizigna","urban","m",7
"gambela","agnewak","dongigna","urban","m",1
"gambela","agnewak","demegna","urban","m",0
"gambela","agnewak","felashigna","urban","m",6
"gambela","agnewak","fedashigna","urban","m",3
"gambela","agnewak","gamogna","urban","m",2
"gambela","agnewak","gebatogna","urban","m",1
"gambela","agnewak","gedeogna","urban","m",1
"gambela","agnewak","gedichogna","urban","m",0
"gambela","agnewak","gedoligna","urban","m",0
"gambela","agnewak","goffigna","urban","m",16
"gambela","agnewak","gumuzigna","urban","m",1
"gambela","agnewak","guragiegna","urban","m",705
"gambela","agnewak","guagugna","urban","m",5
"gambela","agnewak","hadiyigna","urban","m",262
"gambela","agnewak","hareriegna","urban","m",0
"gambela","agnewak","hamerigna","urban","m",1
"gambela","agnewak","irobigna","urban","m",1
"gambela","agnewak","keffagna","urban","m",178
"gambela","agnewak","kembatigna","urban","m",949
"gambela","agnewak","kontigna","urban","m",3
"gambela","agnewak","komigna","urban","m",32
"gambela","agnewak","konsogna","urban","m",0
"gambela","agnewak","koregna","urban","m",1
"gambela","agnewak","koygogna","urban","m",0
"gambela","agnewak","koyrigna","urban","m",0
"gambela","agnewak","kunamigna","urban","m",1
"gambela","agnewak","karogna","urban","m",0
"gambela","agnewak","kusumegna","urban","m",0
"gambela","agnewak","maliegna","urban","m",61
"gambela","agnewak","maogna","urban","m",31
"gambela","agnewak","marekogna","urban","m",14
"gambela","agnewak","mashiligna","urban","m",6
"gambela","agnewak","merigna","urban","m",1
