"region","zone","ethnic.group","residence","sex","population"
"harari","region","affar","urban","m",17
"harari","region","agew-awi","urban","m",5
"harari","region","agew.hamyra","urban","m",87
"harari","region","alaba","urban","m",33
"harari","region","amhara","urban","m",18831
"harari","region","anyiwak","urban","m",39
"harari","region","argoba","urban","m",65
"harari","region","ari","urban","m",21
"harari","region","arborie","urban","m",5
"harari","region","bacha","urban","m",1
"harari","region","basketo","urban","m",0
"harari","region","bench","urban","m",1
"harari","region","berta","urban","m",17
"harari","region","bodi","urban","m",0
"harari","region","brayle","urban","m",8
"harari","region","burji","urban","m",3
"harari","region","bena","urban","m",0
"harari","region","chara","urban","m",0
"harari","region","dasenech","urban","m",2
"harari","region","dawuro","urban","m",3
"harari","region","debase-gewada","urban","m",0
"harari","region","derashe","urban","m",1
"harari","region","dime","urban","m",0
"harari","region","dizi","urban","m",0
"harari","region","donga","urban","m",1
"harari","region","fedashe","urban","m",4
"harari","region","gamo","urban","m",47
"harari","region","gebato","urban","m",0
"harari","region","gedeo","urban","m",5
"harari","region","gedicho","urban","m",0
"harari","region","gidole","urban","m",0
"harari","region","goffa","urban","m",14
"harari","region","gumuz","urban","m",8
"harari","region","guragie","urban","m",4401
"harari","region","guagu","urban","m",0
"harari","region","hadiya","urban","m",64
"harari","region","hareri","urban","m",5660
"harari","region","hamer","urban","m",0
"harari","region","irob","urban","m",1
"harari","region","kefficho","urban","m",18
"harari","region","kembata","urban","m",31
"harari","region","konta","urban","m",0
"harari","region","komo","urban","m",0
"harari","region","konso","urban","m",2
"harari","region","kore","urban","m",4
"harari","region","koyego","urban","m",0
"harari","region","kunama","urban","m",4
"harari","region","karo","urban","m",0
"harari","region","kusumie","urban","m",0
"harari","region","malie","urban","m",29
"harari","region","mao","urban","m",17
"harari","region","mareko","urban","m",10
"harari","region","mashola","urban","m",8
"harari","region","mere","urban","m",5
"harari","region","me-enite","urban","m",3
"harari","region","messengo","urban","m",29
"harari","region","mejenger","urban","m",2
"harari","region","mossiye","urban","m",3
"harari","region","mursi","urban","m",3
"harari","region","murle","urban","m",2
"harari","region","nao","urban","m",5
"harari","region","nuwer","urban","m",7
"harari","region","nyangatom","urban","m",6
"harari","region","oromo","urban","m",14677
"harari","region","oida","urban","m",37
"harari","region","qebena","urban","m",5
"harari","region","qechem","urban","m",0
"harari","region","qewama","urban","m",1
"harari","region","shekecho","urban","m",2
"harari","region","sheko","urban","m",1
"harari","region","shinasha","urban","m",1
"harari","region","sidama","urban","m",25
"harari","region","silte","urban","m",85
"harari","region","somalie","urban","m",3593
"harari","region","surma","urban","m",9
"harari","region","she","urban","m",0
