"region","zone","language","residence","sex","population"
"harari","region","affarigna","urban","m",12
"harari","region","agew-awinigigna","urban","m",7
"harari","region","agew-kamyrnya","urban","m",28
"harari","region","alabigna","urban","m",17
"harari","region","amarigna","urban","m",23158
"harari","region","anyiwakgna","urban","m",36
"harari","region","argobigna","urban","m",43
"harari","region","arigna","urban","m",7
"harari","region","arborigna","urban","m",6
"harari","region","bachagna","urban","m",1
"harari","region","basketigna","urban","m",0
"harari","region","benchigna","urban","m",1
"harari","region","bertagna","urban","m",11
"harari","region","bodigna","urban","m",0
"harari","region","brayligna","urban","m",2
"harari","region","burjigna","urban","m",3
"harari","region","benagna","urban","m",0
"harari","region","charigna","urban","m",0
"harari","region","dasenechgna","urban","m",2
"harari","region","dawurogna","urban","m",4
"harari","region","debosgna","urban","m",0
"harari","region","derashigna","urban","m",0
"harari","region","dimegna","urban","m",1
"harari","region","dizigna","urban","m",0
"harari","region","dongigna","urban","m",1
"harari","region","demegna","urban","m",5
"harari","region","felashigna","urban","m",2
"harari","region","fedashigna","urban","m",0
"harari","region","gamogna","urban","m",42
"harari","region","gebatogna","urban","m",0
"harari","region","gedeogna","urban","m",8
"harari","region","gedichogna","urban","m",0
"harari","region","gedoligna","urban","m",1
"harari","region","goffigna","urban","m",10
"harari","region","gumuzigna","urban","m",10
"harari","region","guragiegna","urban","m",3075
"harari","region","guagugna","urban","m",17
"harari","region","hadiyigna","urban","m",53
"harari","region","hareriegna","urban","m",5850
"harari","region","hamerigna","urban","m",0
"harari","region","irobigna","urban","m",1
"harari","region","keffagna","urban","m",9
"harari","region","kembatigna","urban","m",23
"harari","region","kontigna","urban","m",0
"harari","region","komigna","urban","m",0
"harari","region","konsogna","urban","m",3
"harari","region","koregna","urban","m",1
"harari","region","koygogna","urban","m",0
"harari","region","koyrigna","urban","m",0
"harari","region","kunamigna","urban","m",2
"harari","region","karogna","urban","m",0
"harari","region","kusumegna","urban","m",0
"harari","region","maliegna","urban","m",19
"harari","region","maogna","urban","m",12
"harari","region","marekogna","urban","m",8
"harari","region","mashiligna","urban","m",7
"harari","region","merigna","urban","m",8
"harari","region","me-enigna","urban","m",0
"harari","region","messengogna","urban","m",17
"harari","region","mejengerigna","urban","m",0
"harari","region","mossigna","urban","m",2
"harari","region","mursygna","urban","m",0
"harari","region","murlegna","urban","m",1
