"region","zone","ethnic.group","residence","sex","population"
"oromiya","west.wellega","affar","urban","m",4
"oromiya","west.wellega","agew-awi","urban","m",8
"oromiya","west.wellega","agew.hamyra","urban","m",5
"oromiya","west.wellega","alaba","urban","m",0
"oromiya","west.wellega","amhara","urban","m",2114
"oromiya","west.wellega","anyiwak","urban","m",15
"oromiya","west.wellega","argoba","urban","m",21
"oromiya","west.wellega","ari","urban","m",1
"oromiya","west.wellega","arborie","urban","m",2
"oromiya","west.wellega","bacha","urban","m",0
"oromiya","west.wellega","basketo","urban","m",1
"oromiya","west.wellega","bench","urban","m",2
"oromiya","west.wellega","berta","urban","m",25
"oromiya","west.wellega","bodi","urban","m",0
"oromiya","west.wellega","brayle","urban","m",17
"oromiya","west.wellega","burji","urban","m",1
"oromiya","west.wellega","bena","urban","m",3
"oromiya","west.wellega","chara","urban","m",1
"oromiya","west.wellega","dasenech","urban","m",0
"oromiya","west.wellega","dawuro","urban","m",3
"oromiya","west.wellega","debase-gewada","urban","m",3
"oromiya","west.wellega","derashe","urban","m",5
"oromiya","west.wellega","dime","urban","m",5
"oromiya","west.wellega","dizi","urban","m",0
"oromiya","west.wellega","donga","urban","m",0
"oromiya","west.wellega","fedashe","urban","m",0
"oromiya","west.wellega","gamo","urban","m",0
"oromiya","west.wellega","gebato","urban","m",0
"oromiya","west.wellega","gedeo","urban","m",1
"oromiya","west.wellega","gedicho","urban","m",0
"oromiya","west.wellega","gidole","urban","m",2
"oromiya","west.wellega","goffa","urban","m",0
"oromiya","west.wellega","gumuz","urban","m",4
"oromiya","west.wellega","guragie","urban","m",1247
"oromiya","west.wellega","guagu","urban","m",0
"oromiya","west.wellega","hadiya","urban","m",1
"oromiya","west.wellega","hareri","urban","m",2
"oromiya","west.wellega","hamer","urban","m",0
"oromiya","west.wellega","irob","urban","m",0
"oromiya","west.wellega","kefficho","urban","m",1
"oromiya","west.wellega","kembata","urban","m",1
"oromiya","west.wellega","konta","urban","m",1
"oromiya","west.wellega","komo","urban","m",1
"oromiya","west.wellega","konso","urban","m",0
"oromiya","west.wellega","kore","urban","m",3
"oromiya","west.wellega","koyego","urban","m",0
"oromiya","west.wellega","kunama","urban","m",0
"oromiya","west.wellega","karo","urban","m",2
"oromiya","west.wellega","kusumie","urban","m",1
"oromiya","west.wellega","malie","urban","m",34
"oromiya","west.wellega","mao","urban","m",33
"oromiya","west.wellega","mareko","urban","m",0
"oromiya","west.wellega","mashola","urban","m",0
"oromiya","west.wellega","mere","urban","m",10
"oromiya","west.wellega","me-enite","urban","m",1
"oromiya","west.wellega","messengo","urban","m",14
"oromiya","west.wellega","mejenger","urban","m",0
"oromiya","west.wellega","mossiye","urban","m",1
"oromiya","west.wellega","mursi","urban","m",0
"oromiya","west.wellega","murle","urban","m",1
"oromiya","west.wellega","nao","urban","m",4
"oromiya","west.wellega","nuwer","urban","m",7
"oromiya","west.wellega","nyangatom","urban","m",31
"oromiya","west.wellega","oromo","urban","m",69606
"oromiya","west.wellega","oida","urban","m",3
"oromiya","west.wellega","qebena","urban","m",1
"oromiya","west.wellega","qechem","urban","m",0
"oromiya","west.wellega","qewama","urban","m",0
"oromiya","west.wellega","shekecho","urban","m",0
"oromiya","west.wellega","sheko","urban","m",1
"oromiya","west.wellega","shinasha","urban","m",0
"oromiya","west.wellega","sidama","urban","m",4
"oromiya","west.wellega","silte","urban","m",117
"oromiya","west.wellega","somalie","urban","m",312
"oromiya","west.wellega","surma","urban","m",1
"oromiya","west.wellega","she","urban","m",0
"oromiya","west.wellega","tigrie","urban","m",215
"oromiya","west.wellega","timebaro","urban","m",2
"oromiya","west.wellega","tsemay","urban","m",0
"oromiya","west.wellega","upo","urban","m",0
"oromiya","west.wellega","welaita","urban","m",32
"oromiya","west.wellega","werji","urban","m",8
"oromiya","west.wellega","yem","urban","m",4
"oromiya","west.wellega","zeyese","urban","m",1
"oromiya","west.wellega","zelmam","urban","m",0
"oromiya","west.wellega","other.ethiopian.national","urban","m",0
