"region","zone","language","residence","sex","population"
"oromiya","west.wellega","affarigna","urban","m",4
"oromiya","west.wellega","agew-awinigigna","urban","m",4
"oromiya","west.wellega","agew-kamyrnya","urban","m",3
"oromiya","west.wellega","alabigna","urban","m",1
"oromiya","west.wellega","amarigna","urban","m",1563
"oromiya","west.wellega","anyiwakgna","urban","m",16
"oromiya","west.wellega","argobigna","urban","m",16
"oromiya","west.wellega","arigna","urban","m",0
"oromiya","west.wellega","arborigna","urban","m",1
"oromiya","west.wellega","bachagna","urban","m",0
"oromiya","west.wellega","basketigna","urban","m",0
"oromiya","west.wellega","benchigna","urban","m",1
"oromiya","west.wellega","bertagna","urban","m",20
"oromiya","west.wellega","bodigna","urban","m",0
"oromiya","west.wellega","brayligna","urban","m",10
"oromiya","west.wellega","burjigna","urban","m",1
"oromiya","west.wellega","benagna","urban","m",4
"oromiya","west.wellega","charigna","urban","m",0
"oromiya","west.wellega","dasenechgna","urban","m",0
"oromiya","west.wellega","dawurogna","urban","m",0
"oromiya","west.wellega","debosgna","urban","m",2
"oromiya","west.wellega","derashigna","urban","m",5
"oromiya","west.wellega","dimegna","urban","m",3
"oromiya","west.wellega","dizigna","urban","m",0
"oromiya","west.wellega","dongigna","urban","m",0
"oromiya","west.wellega","demegna","urban","m",0
"oromiya","west.wellega","felashigna","urban","m",4
"oromiya","west.wellega","fedashigna","urban","m",0
"oromiya","west.wellega","gamogna","urban","m",1
"oromiya","west.wellega","gebatogna","urban","m",0
"oromiya","west.wellega","gedeogna","urban","m",5
"oromiya","west.wellega","gedichogna","urban","m",0
"oromiya","west.wellega","gedoligna","urban","m",0
"oromiya","west.wellega","goffigna","urban","m",2
"oromiya","west.wellega","gumuzigna","urban","m",4
"oromiya","west.wellega","guragiegna","urban","m",879
"oromiya","west.wellega","guagugna","urban","m",5
"oromiya","west.wellega","hadiyigna","urban","m",1
"oromiya","west.wellega","hareriegna","urban","m",2
"oromiya","west.wellega","hamerigna","urban","m",0
"oromiya","west.wellega","irobigna","urban","m",1
"oromiya","west.wellega","keffagna","urban","m",1
"oromiya","west.wellega","kembatigna","urban","m",1
"oromiya","west.wellega","kontigna","urban","m",1
"oromiya","west.wellega","komigna","urban","m",0
"oromiya","west.wellega","konsogna","urban","m",0
"oromiya","west.wellega","koregna","urban","m",5
"oromiya","west.wellega","koygogna","urban","m",0
"oromiya","west.wellega","koyrigna","urban","m",0
"oromiya","west.wellega","kunamigna","urban","m",0
"oromiya","west.wellega","karogna","urban","m",0
"oromiya","west.wellega","kusumegna","urban","m",0
"oromiya","west.wellega","maliegna","urban","m",26
"oromiya","west.wellega","maogna","urban","m",30
"oromiya","west.wellega","marekogna","urban","m",1
"oromiya","west.wellega","mashiligna","urban","m",1
"oromiya","west.wellega","merigna","urban","m",10
"oromiya","west.wellega","me-enigna","urban","m",1
"oromiya","west.wellega","messengogna","urban","m",3
