"region","zone","ethnic.group","residence","sex","population"
"snnpr","gurage","affar","urban","m",22
"snnpr","gurage","agew-awi","urban","m",1
"snnpr","gurage","agew.hamyra","urban","m",132
"snnpr","gurage","alaba","urban","m",75
"snnpr","gurage","amhara","urban","m",6293
"snnpr","gurage","anyiwak","urban","m",86
"snnpr","gurage","argoba","urban","m",27
"snnpr","gurage","ari","urban","m",0
"snnpr","gurage","arborie","urban","m",2
"snnpr","gurage","bacha","urban","m",0
"snnpr","gurage","basketo","urban","m",0
"snnpr","gurage","bench","urban","m",7
"snnpr","gurage","berta","urban","m",1
"snnpr","gurage","bodi","urban","m",2
"snnpr","gurage","brayle","urban","m",2
"snnpr","gurage","burji","urban","m",11
"snnpr","gurage","bena","urban","m",6
"snnpr","gurage","chara","urban","m",0
"snnpr","gurage","dasenech","urban","m",0
"snnpr","gurage","dawuro","urban","m",3
"snnpr","gurage","debase-gewada","urban","m",4
"snnpr","gurage","derashe","urban","m",10
"snnpr","gurage","dime","urban","m",3
"snnpr","gurage","dizi","urban","m",0
"snnpr","gurage","donga","urban","m",7
"snnpr","gurage","fedashe","urban","m",1
"snnpr","gurage","gamo","urban","m",22
"snnpr","gurage","gebato","urban","m",23
"snnpr","gurage","gedeo","urban","m",2
"snnpr","gurage","gedicho","urban","m",6
"snnpr","gurage","gidole","urban","m",20
"snnpr","gurage","goffa","urban","m",6
"snnpr","gurage","gumuz","urban","m",73
"snnpr","gurage","guragie","urban","m",42652
"snnpr","gurage","guagu","urban","m",0
"snnpr","gurage","hadiya","urban","m",738
"snnpr","gurage","hareri","urban","m",6
"snnpr","gurage","hamer","urban","m",0
"snnpr","gurage","irob","urban","m",0
"snnpr","gurage","kefficho","urban","m",17
"snnpr","gurage","kembata","urban","m",386
"snnpr","gurage","konta","urban","m",2
"snnpr","gurage","komo","urban","m",0
"snnpr","gurage","konso","urban","m",2
"snnpr","gurage","kore","urban","m",2
"snnpr","gurage","koyego","urban","m",5
"snnpr","gurage","kunama","urban","m",0
"snnpr","gurage","karo","urban","m",0
"snnpr","gurage","kusumie","urban","m",3
"snnpr","gurage","malie","urban","m",240
"snnpr","gurage","mao","urban","m",223
"snnpr","gurage","mareko","urban","m",2854
"snnpr","gurage","mashola","urban","m",35
"snnpr","gurage","mere","urban","m",7
"snnpr","gurage","me-enite","urban","m",2
"snnpr","gurage","messengo","urban","m",30
"snnpr","gurage","mejenger","urban","m",3
"snnpr","gurage","mossiye","urban","m",2
"snnpr","gurage","mursi","urban","m",0
"snnpr","gurage","murle","urban","m",6
"snnpr","gurage","nao","urban","m",2
"snnpr","gurage","nuwer","urban","m",2
"snnpr","gurage","nyangatom","urban","m",28
"snnpr","gurage","oromo","urban","m",2724
"snnpr","gurage","oida","urban","m",5
"snnpr","gurage","qebena","urban","m",1085
"snnpr","gurage","qechem","urban","m",1
"snnpr","gurage","qewama","urban","m",0
"snnpr","gurage","shekecho","urban","m",6
"snnpr","gurage","sheko","urban","m",2
"snnpr","gurage","shinasha","urban","m",5
"snnpr","gurage","sidama","urban","m",22
"snnpr","gurage","silte","urban","m",2709
"snnpr","gurage","somalie","urban","m",10
"snnpr","gurage","surma","urban","m",7
"snnpr","gurage","she","urban","m",0
"snnpr","gurage","tigrie","urban","m",265
"snnpr","gurage","timebaro","urban","m",3
"snnpr","gurage","tsemay","urban","m",0
"snnpr","gurage","upo","urban","m",1
"snnpr","gurage","welaita","urban","m",161
"snnpr","gurage","werji","urban","m",5
"snnpr","gurage","yem","urban","m",19
"snnpr","gurage","zeyese","urban","m",4
"snnpr","gurage","zelmam","urban","m",0
"snnpr","gurage","other.ethiopian.national","urban","m",485
"snnpr","gurage","from.different.parents","urban","m",10
"snnpr","gurage","eritrean","urban","m",3
"snnpr","gurage","djiboutian","urban","m",0
"snnpr","gurage","somalian","urban","m",0
"snnpr","gurage","kenyan","urban","m",4
"snnpr","gurage","sudanese","urban","m",3
"snnpr","gurage","other.foreigners","urban","m",19
"snnpr","hadiya","affar","urban","m",16
"snnpr","hadiya","agew-awi","urban","m",5
"snnpr","hadiya","agew.hamyra","urban","m",73
"snnpr","hadiya","alaba","urban","m",73
"snnpr","hadiya","amhara","urban","m",4543
"snnpr","hadiya","anyiwak","urban","m",20
"snnpr","hadiya","argoba","urban","m",20
"snnpr","hadiya","ari","urban","m",65
"snnpr","hadiya","arborie","urban","m",1
"snnpr","hadiya","bacha","urban","m",0
"snnpr","hadiya","basketo","urban","m",0
"snnpr","hadiya","bench","urban","m",8
"snnpr","hadiya","berta","urban","m",0
"snnpr","hadiya","bodi","urban","m",0
"snnpr","hadiya","brayle","urban","m",1
"snnpr","hadiya","burji","urban","m",2
"snnpr","hadiya","bena","urban","m",0
"snnpr","hadiya","chara","urban","m",4
"snnpr","hadiya","dasenech","urban","m",2
"snnpr","hadiya","dawuro","urban","m",16
"snnpr","hadiya","debase-gewada","urban","m",0
"snnpr","hadiya","derashe","urban","m",4
"snnpr","hadiya","dime","urban","m",6
"snnpr","hadiya","dizi","urban","m",1
"snnpr","hadiya","donga","urban","m",65
"snnpr","hadiya","fedashe","urban","m",22
"snnpr","hadiya","gamo","urban","m",63
"snnpr","hadiya","gebato","urban","m",8
"snnpr","hadiya","gedeo","urban","m",9
"snnpr","hadiya","gedicho","urban","m",3
"snnpr","hadiya","gidole","urban","m",30
"snnpr","hadiya","goffa","urban","m",20
"snnpr","hadiya","gumuz","urban","m",39
"snnpr","hadiya","guragie","urban","m",2263
"snnpr","hadiya","guagu","urban","m",0
"snnpr","hadiya","hadiya","urban","m",54318
"snnpr","hadiya","hareri","urban","m",30
"snnpr","hadiya","hamer","urban","m",2
"snnpr","hadiya","irob","urban","m",0
"snnpr","hadiya","kefficho","urban","m",18
"snnpr","hadiya","kembata","urban","m",2655
"snnpr","hadiya","konta","urban","m",11
"snnpr","hadiya","komo","urban","m",6
"snnpr","hadiya","konso","urban","m",13
"snnpr","hadiya","kore","urban","m",12
"snnpr","hadiya","koyego","urban","m",10
"snnpr","hadiya","kunama","urban","m",1
"snnpr","hadiya","karo","urban","m",0
"snnpr","hadiya","kusumie","urban","m",0
"snnpr","hadiya","malie","urban","m",63
"snnpr","hadiya","mao","urban","m",79
"snnpr","hadiya","mareko","urban","m",9
"snnpr","hadiya","mashola","urban","m",62
"snnpr","hadiya","mere","urban","m",16
"snnpr","hadiya","me-enite","urban","m",18
"snnpr","hadiya","messengo","urban","m",28
"snnpr","hadiya","mejenger","urban","m",2
"snnpr","hadiya","mossiye","urban","m",9
"snnpr","hadiya","mursi","urban","m",1
"snnpr","hadiya","murle","urban","m",27
"snnpr","hadiya","nao","urban","m",5
"snnpr","hadiya","nuwer","urban","m",3
"snnpr","hadiya","nyangatom","urban","m",8
"snnpr","hadiya","oromo","urban","m",511
"snnpr","hadiya","oida","urban","m",1
"snnpr","hadiya","qebena","urban","m",12
"snnpr","hadiya","qechem","urban","m",2
"snnpr","hadiya","qewama","urban","m",2
"snnpr","hadiya","shekecho","urban","m",0
"snnpr","hadiya","sheko","urban","m",9
"snnpr","hadiya","shinasha","urban","m",0
"snnpr","hadiya","sidama","urban","m",392
"snnpr","hadiya","silte","urban","m",1140
"snnpr","hadiya","somalie","urban","m",6
"snnpr","hadiya","surma","urban","m",18
"snnpr","hadiya","she","urban","m",4
"snnpr","hadiya","tigrie","urban","m",100
"snnpr","hadiya","timebaro","urban","m",186
"snnpr","hadiya","tsemay","urban","m",0
"snnpr","hadiya","upo","urban","m",6
"snnpr","hadiya","welaita","urban","m",1332
"snnpr","hadiya","werji","urban","m",15
"snnpr","hadiya","yem","urban","m",116
"snnpr","hadiya","zeyese","urban","m",2
"snnpr","hadiya","zelmam","urban","m",2
"snnpr","hadiya","other.ethiopian.national","urban","m",359
"snnpr","hadiya","from.different.parents","urban","m",5
"snnpr","hadiya","eritrean","urban","m",8
"snnpr","hadiya","djiboutian","urban","m",2
"snnpr","hadiya","somalian","urban","m",1
"snnpr","hadiya","kenyan","urban","m",0
"snnpr","hadiya","sudanese","urban","m",5
"snnpr","hadiya","other.foreigners","urban","m",40
"snnpr","kembata.timbaro","affar","urban","m",5
"snnpr","kembata.timbaro","agew-awi","urban","m",2
"snnpr","kembata.timbaro","agew.hamyra","urban","m",41
"snnpr","kembata.timbaro","alaba","urban","m",66
"snnpr","kembata.timbaro","amhara","urban","m",1014
"snnpr","kembata.timbaro","anyiwak","urban","m",3
"snnpr","kembata.timbaro","argoba","urban","m",3
"snnpr","kembata.timbaro","ari","urban","m",5
"snnpr","kembata.timbaro","arborie","urban","m",0
"snnpr","kembata.timbaro","bacha","urban","m",1
"snnpr","kembata.timbaro","basketo","urban","m",0
"snnpr","kembata.timbaro","bench","urban","m",0
"snnpr","kembata.timbaro","berta","urban","m",0
"snnpr","kembata.timbaro","bodi","urban","m",0
"snnpr","kembata.timbaro","brayle","urban","m",1
"snnpr","kembata.timbaro","burji","urban","m",9
"snnpr","kembata.timbaro","bena","urban","m",0
"snnpr","kembata.timbaro","chara","urban","m",5
"snnpr","kembata.timbaro","dasenech","urban","m",0
"snnpr","kembata.timbaro","dawuro","urban","m",25
"snnpr","kembata.timbaro","debase-gewada","urban","m",0
"snnpr","kembata.timbaro","derashe","urban","m",0
"snnpr","kembata.timbaro","dime","urban","m",0
"snnpr","kembata.timbaro","dizi","urban","m",2
"snnpr","kembata.timbaro","donga","urban","m",3406
"snnpr","kembata.timbaro","fedashe","urban","m",1
"snnpr","kembata.timbaro","gamo","urban","m",8
"snnpr","kembata.timbaro","gebato","urban","m",1
