"region","zone","language","residence","sex","population"
"snnpr","gurage","affarigna","urban","m",8
"snnpr","gurage","agew-awinigigna","urban","m",5
"snnpr","gurage","agew-kamyrnya","urban","m",41
"snnpr","gurage","alabigna","urban","m",36
"snnpr","gurage","amarigna","urban","m",19536
"snnpr","gurage","anyiwakgna","urban","m",87
"snnpr","gurage","argobigna","urban","m",31
"snnpr","gurage","arigna","urban","m",2
"snnpr","gurage","arborigna","urban","m",3
"snnpr","gurage","bachagna","urban","m",0
"snnpr","gurage","basketigna","urban","m",0
"snnpr","gurage","benchigna","urban","m",2
"snnpr","gurage","bertagna","urban","m",0
"snnpr","gurage","bodigna","urban","m",1
"snnpr","gurage","brayligna","urban","m",7
"snnpr","gurage","burjigna","urban","m",3
"snnpr","gurage","benagna","urban","m",0
"snnpr","gurage","charigna","urban","m",0
"snnpr","gurage","dasenechgna","urban","m",1
"snnpr","gurage","dawurogna","urban","m",3
"snnpr","gurage","debosgna","urban","m",2
"snnpr","gurage","derashigna","urban","m",0
"snnpr","gurage","dimegna","urban","m",2
"snnpr","gurage","dizigna","urban","m",0
"snnpr","gurage","dongigna","urban","m",4
"snnpr","gurage","demegna","urban","m",11
"snnpr","gurage","felashigna","urban","m",1
"snnpr","gurage","fedashigna","urban","m",4
"snnpr","gurage","gamogna","urban","m",10
"snnpr","gurage","gebatogna","urban","m",14
"snnpr","gurage","gedeogna","urban","m",2
"snnpr","gurage","gedichogna","urban","m",3
"snnpr","gurage","gedoligna","urban","m",11
"snnpr","gurage","goffigna","urban","m",6
"snnpr","gurage","gumuzigna","urban","m",52
"snnpr","gurage","guragiegna","urban","m",32793
"snnpr","gurage","guagugna","urban","m",9
"snnpr","gurage","hadiyigna","urban","m",630
"snnpr","gurage","hareriegna","urban","m",6
"snnpr","gurage","hamerigna","urban","m",0
"snnpr","gurage","irobigna","urban","m",14
"snnpr","gurage","keffagna","urban","m",12
"snnpr","gurage","kembatigna","urban","m",342
"snnpr","gurage","kontigna","urban","m",1
"snnpr","gurage","komigna","urban","m",0
"snnpr","gurage","konsogna","urban","m",1
"snnpr","gurage","koregna","urban","m",2
"snnpr","gurage","koygogna","urban","m",3
"snnpr","gurage","koyrigna","urban","m",1
"snnpr","gurage","kunamigna","urban","m",3
"snnpr","gurage","karogna","urban","m",0
"snnpr","gurage","kusumegna","urban","m",2
"snnpr","gurage","maliegna","urban","m",22
"snnpr","gurage","maogna","urban","m",58
"snnpr","gurage","marekogna","urban","m",2093
"snnpr","gurage","mashiligna","urban","m",22
"snnpr","gurage","merigna","urban","m",7
"snnpr","gurage","me-enigna","urban","m",1
"snnpr","gurage","messengogna","urban","m",28
"snnpr","gurage","mejengerigna","urban","m",0
"snnpr","gurage","mossigna","urban","m",1
"snnpr","gurage","mursygna","urban","m",1
"snnpr","gurage","murlegna","urban","m",3
"snnpr","gurage","naogna","urban","m",2
"snnpr","gurage","nuwerigna","urban","m",2
"snnpr","gurage","nyangatomigna","urban","m",22
"snnpr","gurage","oromigna","urban","m",1566
"snnpr","gurage","oydigna","urban","m",1
"snnpr","gurage","qebenigna","urban","m",940
"snnpr","gurage","qechemigna","urban","m",0
"snnpr","gurage","qewamigna","urban","m",0
"snnpr","gurage","shekacho","urban","m",2
"snnpr","gurage","shekogna","urban","m",1
"snnpr","gurage","shinashigna","urban","m",5
"snnpr","gurage","sidamigna","urban","m",15
"snnpr","gurage","shitagna","urban","m",2419
"snnpr","gurage","somaligna","urban","m",12
"snnpr","gurage","surmagna","urban","m",8
"snnpr","gurage","shegna","urban","m",0
"snnpr","gurage","shetagna","urban","m",0
"snnpr","gurage","tigrigna","urban","m",119
"snnpr","gurage","tembarogna","urban","m",0
"snnpr","gurage","tsemayigna","urban","m",0
"snnpr","gurage","upo","urban","m",2
"snnpr","gurage","welaitigna","urban","m",113
"snnpr","gurage","wergigna","urban","m",2
"snnpr","gurage","yemsagna","urban","m",13
"snnpr","gurage","zeysegna","urban","m",1
"snnpr","gurage","zlmamigna","urban","m",1
"snnpr","gurage","other.ethiopian.languages","urban","m",448
"snnpr","gurage","english","urban","m",0
"snnpr","gurage","other.foreign.languages","urban","m",15
"snnpr","hadiya","affarigna","urban","m",13
"snnpr","hadiya","agew-awinigigna","urban","m",3
"snnpr","hadiya","agew-kamyrnya","urban","m",86
"snnpr","hadiya","alabigna","urban","m",34
"snnpr","hadiya","amarigna","urban","m",11511
"snnpr","hadiya","anyiwakgna","urban","m",19
"snnpr","hadiya","argobigna","urban","m",8
"snnpr","hadiya","arigna","urban","m",67
"snnpr","hadiya","arborigna","urban","m",2
"snnpr","hadiya","bachagna","urban","m",3
"snnpr","hadiya","basketigna","urban","m",0
"snnpr","hadiya","benchigna","urban","m",3
"snnpr","hadiya","bertagna","urban","m",1
"snnpr","hadiya","bodigna","urban","m",1
"snnpr","hadiya","brayligna","urban","m",4
"snnpr","hadiya","burjigna","urban","m",1
"snnpr","hadiya","benagna","urban","m",0
"snnpr","hadiya","charigna","urban","m",13
"snnpr","hadiya","dasenechgna","urban","m",2
"snnpr","hadiya","dawurogna","urban","m",15
"snnpr","hadiya","debosgna","urban","m",1
"snnpr","hadiya","derashigna","urban","m",5
"snnpr","hadiya","dimegna","urban","m",6
"snnpr","hadiya","dizigna","urban","m",4
"snnpr","hadiya","dongigna","urban","m",33
"snnpr","hadiya","demegna","urban","m",1
"snnpr","hadiya","felashigna","urban","m",1
"snnpr","hadiya","fedashigna","urban","m",24
"snnpr","hadiya","gamogna","urban","m",40
"snnpr","hadiya","gebatogna","urban","m",12
"snnpr","hadiya","gedeogna","urban","m",11
"snnpr","hadiya","gedichogna","urban","m",1
"snnpr","hadiya","gedoligna","urban","m",19
"snnpr","hadiya","goffigna","urban","m",22
"snnpr","hadiya","gumuzigna","urban","m",44
"snnpr","hadiya","guragiegna","urban","m",1372
"snnpr","hadiya","guagugna","urban","m",7
"snnpr","hadiya","hadiyigna","urban","m",49909
"snnpr","hadiya","hareriegna","urban","m",21
"snnpr","hadiya","hamerigna","urban","m",2
"snnpr","hadiya","irobigna","urban","m",0
"snnpr","hadiya","keffagna","urban","m",14
"snnpr","hadiya","kembatigna","urban","m",1943
"snnpr","hadiya","kontigna","urban","m",12
"snnpr","hadiya","komigna","urban","m",0
"snnpr","hadiya","konsogna","urban","m",24
"snnpr","hadiya","koregna","urban","m",2
"snnpr","hadiya","koygogna","urban","m",7
"snnpr","hadiya","koyrigna","urban","m",8
"snnpr","hadiya","kunamigna","urban","m",2
"snnpr","hadiya","karogna","urban","m",0
"snnpr","hadiya","kusumegna","urban","m",0
"snnpr","hadiya","maliegna","urban","m",24
"snnpr","hadiya","maogna","urban","m",51
"snnpr","hadiya","marekogna","urban","m",7
"snnpr","hadiya","mashiligna","urban","m",33
"snnpr","hadiya","merigna","urban","m",14
"snnpr","hadiya","me-enigna","urban","m",9
"snnpr","hadiya","messengogna","urban","m",21
"snnpr","hadiya","mejengerigna","urban","m",0
"snnpr","hadiya","mossigna","urban","m",9
"snnpr","hadiya","mursygna","urban","m",1
"snnpr","hadiya","murlegna","urban","m",8
"snnpr","hadiya","naogna","urban","m",2
"snnpr","hadiya","nuwerigna","urban","m",2
"snnpr","hadiya","nyangatomigna","urban","m",7
"snnpr","hadiya","oromigna","urban","m",237
