"region","zone","ethnic.group","residence","sex","population"
"somali","shinile","affar","urban","m",3
"somali","shinile","agew-awi","urban","m",0
"somali","shinile","agew.hamyra","urban","m",2
"somali","shinile","alaba","urban","m",9
"somali","shinile","amhara","urban","m",1737
"somali","shinile","anyiwak","urban","m",2
"somali","shinile","argoba","urban","m",31
"somali","shinile","ari","urban","m",8
"somali","shinile","arborie","urban","m",0
"somali","shinile","bacha","urban","m",0
"somali","shinile","basketo","urban","m",0
"somali","shinile","bench","urban","m",0
"somali","shinile","berta","urban","m",0
"somali","shinile","bodi","urban","m",1
"somali","shinile","brayle","urban","m",0
"somali","shinile","burji","urban","m",0
"somali","shinile","bena","urban","m",0
"somali","shinile","chara","urban","m",0
"somali","shinile","dasenech","urban","m",0
"somali","shinile","dawuro","urban","m",0
"somali","shinile","debase-gewada","urban","m",0
"somali","shinile","derashe","urban","m",0
"somali","shinile","dime","urban","m",0
"somali","shinile","dizi","urban","m",0
"somali","shinile","donga","urban","m",1
"somali","shinile","fedashe","urban","m",0
"somali","shinile","gamo","urban","m",0
"somali","shinile","gebato","urban","m",0
"somali","shinile","gedeo","urban","m",0
"somali","shinile","gedicho","urban","m",0
"somali","shinile","gidole","urban","m",3
"somali","shinile","goffa","urban","m",0
"somali","shinile","gumuz","urban","m",0
"somali","shinile","guragie","urban","m",169
"somali","shinile","guagu","urban","m",0
"somali","shinile","hadiya","urban","m",1
"somali","shinile","hareri","urban","m",0
"somali","shinile","hamer","urban","m",0
"somali","shinile","irob","urban","m",0
"somali","shinile","kefficho","urban","m",2
"somali","shinile","kembata","urban","m",1
"somali","shinile","konta","urban","m",1
"somali","shinile","komo","urban","m",0
"somali","shinile","konso","urban","m",0
"somali","shinile","kore","urban","m",1
"somali","shinile","koyego","urban","m",0
"somali","shinile","kunama","urban","m",1
"somali","shinile","karo","urban","m",0
"somali","shinile","kusumie","urban","m",2
"somali","shinile","malie","urban","m",30
"somali","shinile","mao","urban","m",3
"somali","shinile","mareko","urban","m",5
"somali","shinile","mashola","urban","m",1
"somali","shinile","mere","urban","m",0
"somali","shinile","me-enite","urban","m",0
"somali","shinile","messengo","urban","m",1
"somali","shinile","mejenger","urban","m",0
"somali","shinile","mossiye","urban","m",1
"somali","shinile","mursi","urban","m",0
"somali","shinile","murle","urban","m",4
"somali","shinile","nao","urban","m",0
"somali","shinile","nuwer","urban","m",0
"somali","shinile","nyangatom","urban","m",1
"somali","shinile","oromo","urban","m",1210
"somali","shinile","oida","urban","m",1
"somali","shinile","qebena","urban","m",0
"somali","shinile","qechem","urban","m",0
"somali","shinile","qewama","urban","m",0
"somali","shinile","shekecho","urban","m",2
"somali","shinile","sheko","urban","m",0
"somali","shinile","shinasha","urban","m",0
"somali","shinile","sidama","urban","m",2
"somali","shinile","silte","urban","m",1
"somali","shinile","somalie","urban","m",30481
"somali","shinile","surma","urban","m",0
"somali","shinile","she","urban","m",1
"somali","shinile","tigrie","urban","m",113
"somali","shinile","timebaro","urban","m",1
"somali","shinile","tsemay","urban","m",0
"somali","shinile","upo","urban","m",0
"somali","shinile","welaita","urban","m",8
"somali","shinile","werji","urban","m",0
"somali","shinile","yem","urban","m",0
"somali","shinile","zeyese","urban","m",0
"somali","shinile","zelmam","urban","m",1
"somali","shinile","other.ethiopian.national","urban","m",69
"somali","shinile","from.different.parents","urban","m",0
"somali","shinile","eritrean","urban","m",5
"somali","shinile","djiboutian","urban","m",0
"somali","shinile","somalian","urban","m",0
"somali","shinile","kenyan","urban","m",0
"somali","shinile","sudanese","urban","m",2
"somali","shinile","other.foreigners","urban","m",2
"somali","jijiga","affar","urban","m",12
"somali","jijiga","agew-awi","urban","m",11
"somali","jijiga","agew.hamyra","urban","m",19
"somali","jijiga","alaba","urban","m",70
"somali","jijiga","amhara","urban","m",8049
"somali","jijiga","anyiwak","urban","m",11
"somali","jijiga","argoba","urban","m",69
"somali","jijiga","ari","urban","m",9
"somali","jijiga","arborie","urban","m",6
"somali","jijiga","bacha","urban","m",0
"somali","jijiga","basketo","urban","m",2
"somali","jijiga","bench","urban","m",1
"somali","jijiga","berta","urban","m",7
"somali","jijiga","bodi","urban","m",0
"somali","jijiga","brayle","urban","m",3
"somali","jijiga","burji","urban","m",1
"somali","jijiga","bena","urban","m",1
"somali","jijiga","chara","urban","m",0
"somali","jijiga","dasenech","urban","m",0
"somali","jijiga","dawuro","urban","m",5
"somali","jijiga","debase-gewada","urban","m",0
"somali","jijiga","derashe","urban","m",2
"somali","jijiga","dime","urban","m",3
"somali","jijiga","dizi","urban","m",1
"somali","jijiga","donga","urban","m",4
"somali","jijiga","fedashe","urban","m",0
"somali","jijiga","gamo","urban","m",16
"somali","jijiga","gebato","urban","m",1
"somali","jijiga","gedeo","urban","m",0
"somali","jijiga","gedicho","urban","m",0
"somali","jijiga","gidole","urban","m",3
"somali","jijiga","goffa","urban","m",0
"somali","jijiga","gumuz","urban","m",6
"somali","jijiga","guragie","urban","m",2458
"somali","jijiga","guagu","urban","m",0
"somali","jijiga","hadiya","urban","m",48
"somali","jijiga","hareri","urban","m",96
"somali","jijiga","hamer","urban","m",2
"somali","jijiga","irob","urban","m",0
"somali","jijiga","kefficho","urban","m",8
"somali","jijiga","kembata","urban","m",27
"somali","jijiga","konta","urban","m",18
"somali","jijiga","komo","urban","m",2
"somali","jijiga","konso","urban","m",1
"somali","jijiga","kore","urban","m",2
"somali","jijiga","koyego","urban","m",0
"somali","jijiga","kunama","urban","m",6
"somali","jijiga","karo","urban","m",0
"somali","jijiga","kusumie","urban","m",0
"somali","jijiga","malie","urban","m",45
"somali","jijiga","mao","urban","m",4
"somali","jijiga","mareko","urban","m",14
"somali","jijiga","mashola","urban","m",6
"somali","jijiga","mere","urban","m",5
"somali","jijiga","me-enite","urban","m",1
"somali","jijiga","messengo","urban","m",27
"somali","jijiga","mejenger","urban","m",1
"somali","jijiga","mossiye","urban","m",0
"somali","jijiga","mursi","urban","m",2
"somali","jijiga","murle","urban","m",1
"somali","jijiga","nao","urban","m",2
"somali","jijiga","nuwer","urban","m",4
"somali","jijiga","nyangatom","urban","m",10
"somali","jijiga","oromo","urban","m",4374
"somali","jijiga","oida","urban","m",15
"somali","jijiga","qebena","urban","m",24
"somali","jijiga","qechem","urban","m",2
