"region","zone","language","residence","sex","population"
"somali","shinile","affarigna","urban","m",1
"somali","shinile","agew-awinigigna","urban","m",0
"somali","shinile","agew-kamyrnya","urban","m",0
"somali","shinile","alabigna","urban","m",5
"somali","shinile","amarigna","urban","m",1821
"somali","shinile","anyiwakgna","urban","m",5
"somali","shinile","argobigna","urban","m",29
"somali","shinile","arigna","urban","m",5
"somali","shinile","arborigna","urban","m",0
"somali","shinile","bachagna","urban","m",0
"somali","shinile","basketigna","urban","m",0
"somali","shinile","benchigna","urban","m",0
"somali","shinile","bertagna","urban","m",0
"somali","shinile","bodigna","urban","m",0
"somali","shinile","brayligna","urban","m",3
"somali","shinile","burjigna","urban","m",0
"somali","shinile","benagna","urban","m",2
"somali","shinile","charigna","urban","m",0
"somali","shinile","dasenechgna","urban","m",0
"somali","shinile","dawurogna","urban","m",0
"somali","shinile","debosgna","urban","m",0
"somali","shinile","derashigna","urban","m",0
"somali","shinile","dimegna","urban","m",0
"somali","shinile","dizigna","urban","m",0
"somali","shinile","dongigna","urban","m",2
"somali","shinile","demegna","urban","m",0
"somali","shinile","felashigna","urban","m",0
"somali","shinile","fedashigna","urban","m",0
"somali","shinile","gamogna","urban","m",0
"somali","shinile","gebatogna","urban","m",0
"somali","shinile","gedeogna","urban","m",0
"somali","shinile","gedichogna","urban","m",0
"somali","shinile","gedoligna","urban","m",1
"somali","shinile","goffigna","urban","m",0
"somali","shinile","gumuzigna","urban","m",3
"somali","shinile","guragiegna","urban","m",133
"somali","shinile","guagugna","urban","m",1
"somali","shinile","hadiyigna","urban","m",0
"somali","shinile","hareriegna","urban","m",0
"somali","shinile","hamerigna","urban","m",0
"somali","shinile","irobigna","urban","m",0
"somali","shinile","keffagna","urban","m",0
"somali","shinile","kembatigna","urban","m",1
"somali","shinile","kontigna","urban","m",13
"somali","shinile","komigna","urban","m",0
"somali","shinile","konsogna","urban","m",0
"somali","shinile","koregna","urban","m",0
"somali","shinile","koygogna","urban","m",0
"somali","shinile","koyrigna","urban","m",0
"somali","shinile","kunamigna","urban","m",1
"somali","shinile","karogna","urban","m",0
"somali","shinile","kusumegna","urban","m",3
"somali","shinile","maliegna","urban","m",25
"somali","shinile","maogna","urban","m",3
"somali","shinile","marekogna","urban","m",6
"somali","shinile","mashiligna","urban","m",1
"somali","shinile","merigna","urban","m",1
"somali","shinile","me-enigna","urban","m",0
"somali","shinile","messengogna","urban","m",0
"somali","shinile","mejengerigna","urban","m",0
"somali","shinile","mossigna","urban","m",0
"somali","shinile","mursygna","urban","m",0
"somali","shinile","murlegna","urban","m",0
"somali","shinile","naogna","urban","m",0
"somali","shinile","nuwerigna","urban","m",0
"somali","shinile","nyangatomigna","urban","m",0
"somali","shinile","oromigna","urban","m",1259
"somali","shinile","oydigna","urban","m",2
"somali","shinile","qebenigna","urban","m",0
"somali","shinile","qechemigna","urban","m",0
"somali","shinile","qewamigna","urban","m",0
"somali","shinile","shekacho","urban","m",1
"somali","shinile","shekogna","urban","m",0
"somali","shinile","shinashigna","urban","m",0
"somali","shinile","sidamigna","urban","m",2
"somali","shinile","shitagna","urban","m",1
"somali","shinile","somaligna","urban","m",30412
"somali","shinile","surmagna","urban","m",0
"somali","shinile","shegna","urban","m",0
"somali","shinile","shetagna","urban","m",0
"somali","shinile","tigrigna","urban","m",102
"somali","shinile","tembarogna","urban","m",1
"somali","shinile","tsemayigna","urban","m",0
"somali","shinile","upo","urban","m",0
"somali","shinile","welaitigna","urban","m",7
"somali","shinile","wergigna","urban","m",0
"somali","shinile","yemsagna","urban","m",0
"somali","shinile","zeysegna","urban","m",0
"somali","shinile","zlmamigna","urban","m",0
"somali","shinile","other.ethiopian.languages","urban","m",68
"somali","shinile","english","urban","m",0
"somali","shinile","other.foreign.languages","urban","m",0
"somali","jijiga","affarigna","urban","m",12
"somali","jijiga","agew-awinigigna","urban","m",4
"somali","jijiga","agew-kamyrnya","urban","m",23
"somali","jijiga","alabigna","urban","m",39
"somali","jijiga","amarigna","urban","m",9442
"somali","jijiga","anyiwakgna","urban","m",15
"somali","jijiga","argobigna","urban","m",48
"somali","jijiga","arigna","urban","m",5
"somali","jijiga","arborigna","urban","m",3
"somali","jijiga","bachagna","urban","m",0
"somali","jijiga","basketigna","urban","m",0
"somali","jijiga","benchigna","urban","m",0
"somali","jijiga","bertagna","urban","m",6
"somali","jijiga","bodigna","urban","m",0
"somali","jijiga","brayligna","urban","m",0
"somali","jijiga","burjigna","urban","m",0
"somali","jijiga","benagna","urban","m",2
"somali","jijiga","charigna","urban","m",0
"somali","jijiga","dasenechgna","urban","m",0
"somali","jijiga","dawurogna","urban","m",2
"somali","jijiga","debosgna","urban","m",0
"somali","jijiga","derashigna","urban","m",1
"somali","jijiga","dimegna","urban","m",1
"somali","jijiga","dizigna","urban","m",0
"somali","jijiga","dongigna","urban","m",8
"somali","jijiga","demegna","urban","m",4
"somali","jijiga","felashigna","urban","m",2
"somali","jijiga","fedashigna","urban","m",2
"somali","jijiga","gamogna","urban","m",13
"somali","jijiga","gebatogna","urban","m",1
"somali","jijiga","gedeogna","urban","m",0
"somali","jijiga","gedichogna","urban","m",0
"somali","jijiga","gedoligna","urban","m",3
"somali","jijiga","goffigna","urban","m",1
"somali","jijiga","gumuzigna","urban","m",9
"somali","jijiga","guragiegna","urban","m",1914
"somali","jijiga","guagugna","urban","m",18
"somali","jijiga","hadiyigna","urban","m",39
"somali","jijiga","hareriegna","urban","m",70
"somali","jijiga","hamerigna","urban","m",1
"somali","jijiga","irobigna","urban","m",0
"somali","jijiga","keffagna","urban","m",12
"somali","jijiga","kembatigna","urban","m",19
"somali","jijiga","kontigna","urban","m",10
"somali","jijiga","komigna","urban","m",2
