"region","zone","ethnic.group","residence","sex","population"
"tigray","north.western.tigray","affar","urban","m",187
"tigray","north.western.tigray","agew-awi","urban","m",2
"tigray","north.western.tigray","agew.hamyra","urban","m",15
"tigray","north.western.tigray","alaba","urban","m",6
"tigray","north.western.tigray","amhara","urban","m",1413
"tigray","north.western.tigray","anyiwak","urban","m",1
"tigray","north.western.tigray","argoba","urban","m",7
"tigray","north.western.tigray","ari","urban","m",33
"tigray","north.western.tigray","arborie","urban","m",0
"tigray","north.western.tigray","bacha","urban","m",3
"tigray","north.western.tigray","basketo","urban","m",0
"tigray","north.western.tigray","bench","urban","m",12
"tigray","north.western.tigray","berta","urban","m",25
"tigray","north.western.tigray","bodi","urban","m",0
"tigray","north.western.tigray","brayle","urban","m",0
"tigray","north.western.tigray","burji","urban","m",1
"tigray","north.western.tigray","bena","urban","m",0
"tigray","north.western.tigray","chara","urban","m",5
"tigray","north.western.tigray","dasenech","urban","m",0
"tigray","north.western.tigray","dawuro","urban","m",3
"tigray","north.western.tigray","debase-gewada","urban","m",0
"tigray","north.western.tigray","derashe","urban","m",1
"tigray","north.western.tigray","dime","urban","m",1
"tigray","north.western.tigray","dizi","urban","m",0
"tigray","north.western.tigray","donga","urban","m",0
"tigray","north.western.tigray","fedashe","urban","m",1
"tigray","north.western.tigray","gamo","urban","m",0
"tigray","north.western.tigray","gebato","urban","m",0
"tigray","north.western.tigray","gedeo","urban","m",0
"tigray","north.western.tigray","gedicho","urban","m",0
"tigray","north.western.tigray","gidole","urban","m",1
"tigray","north.western.tigray","goffa","urban","m",0
"tigray","north.western.tigray","gumuz","urban","m",1
"tigray","north.western.tigray","guragie","urban","m",20
"tigray","north.western.tigray","guagu","urban","m",0
"tigray","north.western.tigray","hadiya","urban","m",2
"tigray","north.western.tigray","hareri","urban","m",33
"tigray","north.western.tigray","hamer","urban","m",3
"tigray","north.western.tigray","irob","urban","m",23
"tigray","north.western.tigray","kefficho","urban","m",1
"tigray","north.western.tigray","kembata","urban","m",0
"tigray","north.western.tigray","konta","urban","m",0
"tigray","north.western.tigray","komo","urban","m",0
"tigray","north.western.tigray","konso","urban","m",1
"tigray","north.western.tigray","kore","urban","m",1
"tigray","north.western.tigray","koyego","urban","m",0
"tigray","north.western.tigray","kunama","urban","m",133
"tigray","north.western.tigray","karo","urban","m",0
"tigray","north.western.tigray","kusumie","urban","m",0
"tigray","north.western.tigray","malie","urban","m",3
"tigray","north.western.tigray","mao","urban","m",1
"tigray","north.western.tigray","mareko","urban","m",0
"tigray","north.western.tigray","mashola","urban","m",0
"tigray","north.western.tigray","mere","urban","m",2
"tigray","north.western.tigray","me-enite","urban","m",0
"tigray","north.western.tigray","messengo","urban","m",3
"tigray","north.western.tigray","mejenger","urban","m",1
"tigray","north.western.tigray","mossiye","urban","m",0
"tigray","north.western.tigray","mursi","urban","m",0
"tigray","north.western.tigray","murle","urban","m",0
"tigray","north.western.tigray","nao","urban","m",0
"tigray","north.western.tigray","nuwer","urban","m",0
"tigray","north.western.tigray","nyangatom","urban","m",0
"tigray","north.western.tigray","oromo","urban","m",390
"tigray","north.western.tigray","oida","urban","m",4
"tigray","north.western.tigray","qebena","urban","m",0
"tigray","north.western.tigray","qechem","urban","m",0
"tigray","north.western.tigray","qewama","urban","m",0
"tigray","north.western.tigray","shekecho","urban","m",0
"tigray","north.western.tigray","sheko","urban","m",0
"tigray","north.western.tigray","shinasha","urban","m",0
"tigray","north.western.tigray","sidama","urban","m",2
"tigray","north.western.tigray","silte","urban","m",2
"tigray","north.western.tigray","somalie","urban","m",7
"tigray","north.western.tigray","surma","urban","m",2
"tigray","north.western.tigray","she","urban","m",0
"tigray","north.western.tigray","tigrie","urban","m",47074
"tigray","north.western.tigray","timebaro","urban","m",8
"tigray","north.western.tigray","tsemay","urban","m",2
"tigray","north.western.tigray","upo","urban","m",0
"tigray","north.western.tigray","welaita","urban","m",17
"tigray","north.western.tigray","werji","urban","m",1
"tigray","north.western.tigray","yem","urban","m",1
"tigray","north.western.tigray","zeyese","urban","m",0
"tigray","north.western.tigray","zelmam","urban","m",4
"tigray","north.western.tigray","other.ethiopian.national","urban","m",0
"tigray","north.western.tigray","from.different.parents","urban","m",14
"tigray","north.western.tigray","eritrean","urban","m",85
"tigray","north.western.tigray","djiboutian","urban","m",0
"tigray","north.western.tigray","somalian","urban","m",0
"tigray","north.western.tigray","kenyan","urban","m",0
"tigray","north.western.tigray","sudanese","urban","m",84
"tigray","north.western.tigray","other.foreigners","urban","m",0
"tigray","central.tigray","affar","urban","m",27
"tigray","central.tigray","agew-awi","urban","m",30
"tigray","central.tigray","agew.hamyra","urban","m",27
"tigray","central.tigray","alaba","urban","m",11
"tigray","central.tigray","amhara","urban","m",629
"tigray","central.tigray","anyiwak","urban","m",1
"tigray","central.tigray","argoba","urban","m",9
"tigray","central.tigray","ari","urban","m",39
"tigray","central.tigray","arborie","urban","m",0
"tigray","central.tigray","bacha","urban","m",1
"tigray","central.tigray","basketo","urban","m",1
"tigray","central.tigray","bench","urban","m",5
"tigray","central.tigray","berta","urban","m",2
"tigray","central.tigray","bodi","urban","m",1
"tigray","central.tigray","brayle","urban","m",1
"tigray","central.tigray","burji","urban","m",2
"tigray","central.tigray","bena","urban","m",3
"tigray","central.tigray","chara","urban","m",2
"tigray","central.tigray","dasenech","urban","m",0
"tigray","central.tigray","dawuro","urban","m",3
"tigray","central.tigray","debase-gewada","urban","m",0
"tigray","central.tigray","derashe","urban","m",2
"tigray","central.tigray","dime","urban","m",0
"tigray","central.tigray","dizi","urban","m",0
"tigray","central.tigray","donga","urban","m",0
"tigray","central.tigray","fedashe","urban","m",1
"tigray","central.tigray","gamo","urban","m",2
"tigray","central.tigray","gebato","urban","m",3
"tigray","central.tigray","gedeo","urban","m",0
"tigray","central.tigray","gedicho","urban","m",0
"tigray","central.tigray","gidole","urban","m",0
"tigray","central.tigray","goffa","urban","m",0
"tigray","central.tigray","gumuz","urban","m",0
"tigray","central.tigray","guragie","urban","m",12
"tigray","central.tigray","guagu","urban","m",0
"tigray","central.tigray","hadiya","urban","m",10
"tigray","central.tigray","hareri","urban","m",3
"tigray","central.tigray","hamer","urban","m",5
"tigray","central.tigray","irob","urban","m",9
"tigray","central.tigray","kefficho","urban","m",2
"tigray","central.tigray","kembata","urban","m",3
"tigray","central.tigray","konta","urban","m",0
"tigray","central.tigray","komo","urban","m",0
"tigray","central.tigray","konso","urban","m",0
"tigray","central.tigray","kore","urban","m",9
"tigray","central.tigray","koyego","urban","m",0
"tigray","central.tigray","kunama","urban","m",5
"tigray","central.tigray","karo","urban","m",2
"tigray","central.tigray","kusumie","urban","m",0
"tigray","central.tigray","malie","urban","m",5
"tigray","central.tigray","mao","urban","m",0
"tigray","central.tigray","mareko","urban","m",1
"tigray","central.tigray","mashola","urban","m",0
"tigray","central.tigray","mere","urban","m",0
"tigray","central.tigray","me-enite","urban","m",0
"tigray","central.tigray","messengo","urban","m",4
"tigray","central.tigray","mejenger","urban","m",4
"tigray","central.tigray","mossiye","urban","m",0
"tigray","central.tigray","mursi","urban","m",0
"tigray","central.tigray","murle","urban","m",0
"tigray","central.tigray","nao","urban","m",0
"tigray","central.tigray","nuwer","urban","m",0
"tigray","central.tigray","nyangatom","urban","m",0
"tigray","central.tigray","oromo","urban","m",42
"tigray","central.tigray","oida","urban","m",0
"tigray","central.tigray","qebena","urban","m",0
"tigray","central.tigray","qechem","urban","m",4
"tigray","central.tigray","qewama","urban","m",0
"tigray","central.tigray","shekecho","urban","m",0
"tigray","central.tigray","sheko","urban","m",0
"tigray","central.tigray","shinasha","urban","m",0
"tigray","central.tigray","sidama","urban","m",1
"tigray","central.tigray","silte","urban","m",0
"tigray","central.tigray","somalie","urban","m",17
"tigray","central.tigray","surma","urban","m",0
"tigray","central.tigray","she","urban","m",1
"tigray","central.tigray","tigrie","urban","m",80856
"tigray","central.tigray","timebaro","urban","m",4
"tigray","central.tigray","tsemay","urban","m",4
"tigray","central.tigray","upo","urban","m",0
"tigray","central.tigray","welaita","urban","m",3
"tigray","central.tigray","werji","urban","m",4
"tigray","central.tigray","yem","urban","m",1
"tigray","central.tigray","zeyese","urban","m",1
"tigray","central.tigray","zelmam","urban","m",7
"tigray","central.tigray","other.ethiopian.national","urban","m",1
"tigray","central.tigray","from.different.parents","urban","m",0
"tigray","central.tigray","eritrean","urban","m",11
"tigray","central.tigray","djiboutian","urban","m",0
"tigray","central.tigray","somalian","urban","m",0
"tigray","central.tigray","kenyan","urban","m",0
"tigray","central.tigray","sudanese","urban","m",3
"tigray","central.tigray","other.foreigners","urban","m",8
"tigray","eastern.tigray","affar","urban","m",242
"tigray","eastern.tigray","agew-awi","urban","m",1
"tigray","eastern.tigray","agew.hamyra","urban","m",20
"tigray","eastern.tigray","alaba","urban","m",20
"tigray","eastern.tigray","amhara","urban","m",427
"tigray","eastern.tigray","anyiwak","urban","m",2
"tigray","eastern.tigray","argoba","urban","m",2
"tigray","eastern.tigray","ari","urban","m",39
"tigray","eastern.tigray","arborie","urban","m",1
"tigray","eastern.tigray","bacha","urban","m",1
"tigray","eastern.tigray","basketo","urban","m",0
"tigray","eastern.tigray","bench","urban","m",3
"tigray","eastern.tigray","berta","urban","m",0
"tigray","eastern.tigray","bodi","urban","m",6
"tigray","eastern.tigray","brayle","urban","m",2
"tigray","eastern.tigray","burji","urban","m",5
"tigray","eastern.tigray","bena","urban","m",1
"tigray","eastern.tigray","chara","urban","m",2
"tigray","eastern.tigray","dasenech","urban","m",1
"tigray","eastern.tigray","dawuro","urban","m",0
"tigray","eastern.tigray","debase-gewada","urban","m",0
"tigray","eastern.tigray","derashe","urban","m",1
