"region","zone","language","residence","sex","population"
"tigray","north.western.tigray","affarigna","urban","m",187
"tigray","north.western.tigray","agew-awinigigna","urban","m",1
"tigray","north.western.tigray","agew-kamyrnya","urban","m",10
"tigray","north.western.tigray","alabigna","urban","m",7
"tigray","north.western.tigray","amarigna","urban","m",1546
"tigray","north.western.tigray","anyiwakgna","urban","m",0
"tigray","north.western.tigray","argobigna","urban","m",6
"tigray","north.western.tigray","arigna","urban","m",22
"tigray","north.western.tigray","arborigna","urban","m",0
"tigray","north.western.tigray","bachagna","urban","m",1
"tigray","north.western.tigray","basketigna","urban","m",0
"tigray","north.western.tigray","benchigna","urban","m",6
"tigray","north.western.tigray","bertagna","urban","m",23
"tigray","north.western.tigray","bodigna","urban","m",1
"tigray","north.western.tigray","brayligna","urban","m",1
"tigray","north.western.tigray","burjigna","urban","m",1
"tigray","north.western.tigray","benagna","urban","m",0
"tigray","north.western.tigray","charigna","urban","m",2
"tigray","north.western.tigray","dasenechgna","urban","m",0
"tigray","north.western.tigray","dawurogna","urban","m",4
"tigray","north.western.tigray","debosgna","urban","m",1
"tigray","north.western.tigray","derashigna","urban","m",1
"tigray","north.western.tigray","dimegna","urban","m",1
"tigray","north.western.tigray","dizigna","urban","m",0
"tigray","north.western.tigray","dongigna","urban","m",1
"tigray","north.western.tigray","demegna","urban","m",0
"tigray","north.western.tigray","felashigna","urban","m",0
"tigray","north.western.tigray","fedashigna","urban","m",1
"tigray","north.western.tigray","gamogna","urban","m",0
"tigray","north.western.tigray","gebatogna","urban","m",0
"tigray","north.western.tigray","gedeogna","urban","m",0
"tigray","north.western.tigray","gedichogna","urban","m",0
"tigray","north.western.tigray","gedoligna","urban","m",2
"tigray","north.western.tigray","goffigna","urban","m",0
"tigray","north.western.tigray","gumuzigna","urban","m",1
"tigray","north.western.tigray","guragiegna","urban","m",15
"tigray","north.western.tigray","guagugna","urban","m",0
"tigray","north.western.tigray","hadiyigna","urban","m",2
"tigray","north.western.tigray","hareriegna","urban","m",43
"tigray","north.western.tigray","hamerigna","urban","m",1
"tigray","north.western.tigray","irobigna","urban","m",26
"tigray","north.western.tigray","keffagna","urban","m",1
"tigray","north.western.tigray","kembatigna","urban","m",0
"tigray","north.western.tigray","kontigna","urban","m",0
"tigray","north.western.tigray","komigna","urban","m",0
"tigray","north.western.tigray","konsogna","urban","m",1
"tigray","north.western.tigray","koregna","urban","m",0
"tigray","north.western.tigray","koygogna","urban","m",0
"tigray","north.western.tigray","koyrigna","urban","m",0
"tigray","north.western.tigray","kunamigna","urban","m",147
"tigray","north.western.tigray","karogna","urban","m",0
"tigray","north.western.tigray","kusumegna","urban","m",0
"tigray","north.western.tigray","maliegna","urban","m",1
"tigray","north.western.tigray","maogna","urban","m",0
"tigray","north.western.tigray","marekogna","urban","m",0
"tigray","north.western.tigray","mashiligna","urban","m",0
"tigray","north.western.tigray","merigna","urban","m",2
"tigray","north.western.tigray","me-enigna","urban","m",0
"tigray","north.western.tigray","messengogna","urban","m",5
"tigray","north.western.tigray","mejengerigna","urban","m",0
"tigray","north.western.tigray","mossigna","urban","m",0
"tigray","north.western.tigray","mursygna","urban","m",0
"tigray","north.western.tigray","murlegna","urban","m",0
"tigray","north.western.tigray","naogna","urban","m",1
"tigray","north.western.tigray","nuwerigna","urban","m",0
"tigray","north.western.tigray","nyangatomigna","urban","m",3
"tigray","north.western.tigray","oromigna","urban","m",375
"tigray","north.western.tigray","oydigna","urban","m",3
"tigray","north.western.tigray","qebenigna","urban","m",0
"tigray","north.western.tigray","qechemigna","urban","m",3
"tigray","north.western.tigray","qewamigna","urban","m",0
"tigray","north.western.tigray","shekacho","urban","m",0
"tigray","north.western.tigray","shekogna","urban","m",0
"tigray","north.western.tigray","shinashigna","urban","m",0
"tigray","north.western.tigray","sidamigna","urban","m",1
"tigray","north.western.tigray","shitagna","urban","m",2
"tigray","north.western.tigray","somaligna","urban","m",5
"tigray","north.western.tigray","surmagna","urban","m",0
"tigray","north.western.tigray","shegna","urban","m",0
"tigray","north.western.tigray","shetagna","urban","m",0
"tigray","north.western.tigray","tigrigna","urban","m",47098
"tigray","north.western.tigray","tembarogna","urban","m",6
"tigray","north.western.tigray","tsemayigna","urban","m",2
"tigray","north.western.tigray","upo","urban","m",2
"tigray","north.western.tigray","welaitigna","urban","m",15
"tigray","north.western.tigray","wergigna","urban","m",1
"tigray","north.western.tigray","yemsagna","urban","m",1
"tigray","north.western.tigray","zeysegna","urban","m",0
"tigray","north.western.tigray","zlmamigna","urban","m",2
